"index","lable","cluster","hubs","degree"
1,"Lactococcus",5,0,0
2,"Thermomonas",3,0,0
3,"Pantoea",1,1,0.0202020202020202
4,"Serinibacter",4,0,0
5,"Ochrobactrum",1,1,0.0202020202020202
6,"Pedobacter",2,1,0.0101010101010101
7,"Bordetella",1,1,0.0303030303030303
8,"Aeromonas",2,1,0.0202020202020202
9,"Brooklawnia",4,0,0
10,"Streptobacillus",5,0,0
11,"Acidovorax",3,0,0
