"index","lable","cluster","degree"
11,"Millisia",6,0.0606060606060606
30,"[Clostridium]",6,0.0606060606060606
49,"Pedobacter",6,0.0707070707070707
54,"Bordetella",6,0.0606060606060606
59,"Aeromonas",6,0.0505050505050505
