"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "417e1982a224ef0eb2025f8c948b41ce" 1900 "aerobic_chemoheterotrophy" 1630 "Leifsonia"
"6" "417e1982a224ef0eb2025f8c948b41ce" 1901 "chemoheterotrophy" 1630 "Leifsonia"
"151" "66a525c03f70b8439b38aecc26fb2968" 2977 "aerobic_chemoheterotrophy" 3985 "Leifsonia"
"156" "66a525c03f70b8439b38aecc26fb2968" 2978 "chemoheterotrophy" 3985 "Leifsonia"
"301" "6cc1ed59716e6997ffdb7dbe8298883e" 3158 "aerobic_chemoheterotrophy" 7424 "Leifsonia"
"306" "6cc1ed59716e6997ffdb7dbe8298883e" 3159 "chemoheterotrophy" 7424 "Leifsonia"
"451" "d3d0bfe624a9f877e73b545370b1e271" 6301 "aerobic_chemoheterotrophy" 6978 "Leifsonia"
"461" "d3d0bfe624a9f877e73b545370b1e271" 6302 "chemoheterotrophy" 6978 "Leifsonia"
"601" "e4f03acd28ad2e76418ae61c3ea77319" 6816 "aerobic_chemoheterotrophy" 3475 "Leifsonia"
"611" "e4f03acd28ad2e76418ae61c3ea77319" 6817 "chemoheterotrophy" 3475 "Leifsonia"
"751" "f3981f6769671ba70dc4f8042d0d9229" 7207 "aerobic_chemoheterotrophy" 1659 "Leifsonia"
"761" "f3981f6769671ba70dc4f8042d0d9229" 7208 "chemoheterotrophy" 1659 "Leifsonia"
