"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1734" "1a59c01f81f3752a608be801b3e2c41e" 771 "mammal_gut" 1512 "Roseburia"
"1736" "1a59c01f81f3752a608be801b3e2c41e" 769 "human_associated" 1512 "Roseburia"
"1740" "1a59c01f81f3752a608be801b3e2c41e" 767 "chemoheterotrophy" 1512 "Roseburia"
"1749" "1a59c01f81f3752a608be801b3e2c41e" 766 "animal_parasites_or_symbionts" 1512 "Roseburia"
"1761" "1d67afd0ab00fbc02424a1841331af0a" 842 "fermentation" 3251 "Roseburia"
"1762" "1d67afd0ab00fbc02424a1841331af0a" 843 "human_associated" 3251 "Roseburia"
"1765" "1d67afd0ab00fbc02424a1841331af0a" 844 "human_gut" 3251 "Roseburia"
"1766" "1d67afd0ab00fbc02424a1841331af0a" 845 "mammal_gut" 3251 "Roseburia"
"1771" "1d67afd0ab00fbc02424a1841331af0a" 841 "chemoheterotrophy" 3251 "Roseburia"
"1773" "1d67afd0ab00fbc02424a1841331af0a" 840 "animal_parasites_or_symbionts" 3251 "Roseburia"
"1791" "1dc6ebe69ceaeed4de4c0541b4b80411" 861 "fermentation" 892 "Roseburia"
"1792" "1dc6ebe69ceaeed4de4c0541b4b80411" 860 "chemoheterotrophy" 892 "Roseburia"
"1794" "1dc6ebe69ceaeed4de4c0541b4b80411" 862 "human_associated" 892 "Roseburia"
"1795" "1dc6ebe69ceaeed4de4c0541b4b80411" 863 "human_gut" 892 "Roseburia"
"1796" "1dc6ebe69ceaeed4de4c0541b4b80411" 864 "mammal_gut" 892 "Roseburia"
"1799" "1dc6ebe69ceaeed4de4c0541b4b80411" 859 "animal_parasites_or_symbionts" 892 "Roseburia"
"1821" "1eda456aa0a8d58fcb46b4caddc739b5" 898 "human_associated" 1137 "Roseburia"
"1822" "1eda456aa0a8d58fcb46b4caddc739b5" 899 "human_gut" 1137 "Roseburia"
"1823" "1eda456aa0a8d58fcb46b4caddc739b5" 896 "chemoheterotrophy" 1137 "Roseburia"
"1824" "1eda456aa0a8d58fcb46b4caddc739b5" 897 "fermentation" 1137 "Roseburia"
"1827" "1eda456aa0a8d58fcb46b4caddc739b5" 900 "mammal_gut" 1137 "Roseburia"
"1835" "1eda456aa0a8d58fcb46b4caddc739b5" 895 "animal_parasites_or_symbionts" 1137 "Roseburia"
"1851" "230dd8d42bcf1f11eb713997a15d2714" 1030 "human_associated" 4185 "Bifidobacterium"
"1855" "230dd8d42bcf1f11eb713997a15d2714" 1029 "fermentation" 4185 "Bifidobacterium"
"1859" "230dd8d42bcf1f11eb713997a15d2714" 1031 "human_gut" 4185 "Bifidobacterium"
"1863" "230dd8d42bcf1f11eb713997a15d2714" 1028 "chemoheterotrophy" 4185 "Bifidobacterium"
"1871" "230dd8d42bcf1f11eb713997a15d2714" 1032 "mammal_gut" 4185 "Bifidobacterium"
"1875" "230dd8d42bcf1f11eb713997a15d2714" 1027 "animal_parasites_or_symbionts" 4185 "Bifidobacterium"
"2091" "2324da3cf4903a472dfd57e68223123b" 1038 "human_associated" 1350 "Roseburia"
"2092" "2324da3cf4903a472dfd57e68223123b" 1037 "fermentation" 1350 "Roseburia"
"2093" "2324da3cf4903a472dfd57e68223123b" 1039 "human_gut" 1350 "Roseburia"
"2094" "2324da3cf4903a472dfd57e68223123b" 1040 "mammal_gut" 1350 "Roseburia"
"2097" "2324da3cf4903a472dfd57e68223123b" 1035 "animal_parasites_or_symbionts" 1350 "Roseburia"
"2099" "2324da3cf4903a472dfd57e68223123b" 1036 "chemoheterotrophy" 1350 "Roseburia"
"2121" "2458e1ad5cf809d181445f92e410940e" 1071 "fermentation" 1626 "Enhydrobacter"
"2125" "2458e1ad5cf809d181445f92e410940e" 1075 "nitrate_reduction" 1626 "Enhydrobacter"
"2129" "2458e1ad5cf809d181445f92e410940e" 1074 "mammal_gut" 1626 "Enhydrobacter"
"2133" "2458e1ad5cf809d181445f92e410940e" 1072 "human_associated" 1626 "Enhydrobacter"
"2137" "2458e1ad5cf809d181445f92e410940e" 1070 "chemoheterotrophy" 1626 "Enhydrobacter"
"2141" "2458e1ad5cf809d181445f92e410940e" 1073 "human_gut" 1626 "Enhydrobacter"
"2165" "2458e1ad5cf809d181445f92e410940e" 1069 "animal_parasites_or_symbionts" 1626 "Enhydrobacter"
"2213" "2458e1ad5cf809d181445f92e410940e" 1068 "aerobic_chemoheterotrophy" 1626 "Enhydrobacter"
"2441" "268515314b596c422f922f99e9fa83c6" 1141 "mammal_gut" 6228 "Roseburia"
"2442" "268515314b596c422f922f99e9fa83c6" 1140 "human_gut" 6228 "Roseburia"
"2443" "268515314b596c422f922f99e9fa83c6" 1139 "human_associated" 6228 "Roseburia"
"2444" "268515314b596c422f922f99e9fa83c6" 1136 "animal_parasites_or_symbionts" 6228 "Roseburia"
"2445" "268515314b596c422f922f99e9fa83c6" 1138 "fermentation" 6228 "Roseburia"
"2447" "268515314b596c422f922f99e9fa83c6" 1137 "chemoheterotrophy" 6228 "Roseburia"
"2471" "2abd783082f9ad6a9c877c1663f50b66" 1253 "fermentation" 2017 "Bifidobacterium"
"2495" "2abd783082f9ad6a9c877c1663f50b66" 1252 "chemoheterotrophy" 2017 "Bifidobacterium"
"2551" "2be5593bb786cb0886957b990160754b" 1297 "fermentation" 2463 "Bifidobacterium"
"2555" "2be5593bb786cb0886957b990160754b" 1296 "chemoheterotrophy" 2463 "Bifidobacterium"
"2559" "2be5593bb786cb0886957b990160754b" 1298 "human_associated" 2463 "Bifidobacterium"
"2563" "2be5593bb786cb0886957b990160754b" 1300 "mammal_gut" 2463 "Bifidobacterium"
"2567" "2be5593bb786cb0886957b990160754b" 1299 "human_gut" 2463 "Bifidobacterium"
"2603" "2be5593bb786cb0886957b990160754b" 1295 "animal_parasites_or_symbionts" 2463 "Bifidobacterium"
"2791" "305e829d2ebfc6de55744fd8f6d7fc07" 1402 "fermentation" 567 "Roseburia"
"2792" "305e829d2ebfc6de55744fd8f6d7fc07" 1401 "chemoheterotrophy" 567 "Roseburia"
"2793" "305e829d2ebfc6de55744fd8f6d7fc07" 1403 "human_associated" 567 "Roseburia"
"2794" "305e829d2ebfc6de55744fd8f6d7fc07" 1404 "human_gut" 567 "Roseburia"
"2796" "305e829d2ebfc6de55744fd8f6d7fc07" 1400 "animal_parasites_or_symbionts" 567 "Roseburia"
"2800" "305e829d2ebfc6de55744fd8f6d7fc07" 1405 "mammal_gut" 567 "Roseburia"
"2821" "311d122e28112a7c15a178fcf51eee61" 1419 "fermentation" 10009 "Bifidobacterium"
"2849" "311d122e28112a7c15a178fcf51eee61" 1418 "chemoheterotrophy" 10009 "Bifidobacterium"
"2901" "34b9e9a998abf4d2fff333f12083f5c8" 1570 "human_associated" 5800 "Bifidobacterium"
"2905" "34b9e9a998abf4d2fff333f12083f5c8" 1568 "chemoheterotrophy" 5800 "Bifidobacterium"
"2913" "34b9e9a998abf4d2fff333f12083f5c8" 1569 "fermentation" 5800 "Bifidobacterium"
"2917" "34b9e9a998abf4d2fff333f12083f5c8" 1571 "human_gut" 5800 "Bifidobacterium"
"2921" "34b9e9a998abf4d2fff333f12083f5c8" 1572 "mammal_gut" 5800 "Bifidobacterium"
"2925" "34b9e9a998abf4d2fff333f12083f5c8" 1567 "animal_parasites_or_symbionts" 5800 "Bifidobacterium"
"3141" "34e9dc0523d345312773063bd62da8b3" 1581 "animal_parasites_or_symbionts" 8657 "Roseburia"
"3142" "34e9dc0523d345312773063bd62da8b3" 1583 "fermentation" 8657 "Roseburia"
"3143" "34e9dc0523d345312773063bd62da8b3" 1584 "human_associated" 8657 "Roseburia"
"3144" "34e9dc0523d345312773063bd62da8b3" 1585 "human_gut" 8657 "Roseburia"
"3145" "34e9dc0523d345312773063bd62da8b3" 1582 "chemoheterotrophy" 8657 "Roseburia"
"3149" "34e9dc0523d345312773063bd62da8b3" 1586 "mammal_gut" 8657 "Roseburia"
"3171" "35a1ec00e856bd7229eb0089ebf0032f" 1606 "chemoheterotrophy" 9981 "Roseburia"
"3173" "35a1ec00e856bd7229eb0089ebf0032f" 1607 "fermentation" 9981 "Roseburia"
"3175" "35a1ec00e856bd7229eb0089ebf0032f" 1605 "animal_parasites_or_symbionts" 9981 "Roseburia"
"3176" "35a1ec00e856bd7229eb0089ebf0032f" 1608 "human_associated" 9981 "Roseburia"
"3177" "35a1ec00e856bd7229eb0089ebf0032f" 1609 "human_gut" 9981 "Roseburia"
"3178" "35a1ec00e856bd7229eb0089ebf0032f" 1610 "mammal_gut" 9981 "Roseburia"
"3201" "36caa0947edc8a9f34b0421365f2cccd" 1635 "chemoheterotrophy" 9179 "Roseburia"
"3203" "36caa0947edc8a9f34b0421365f2cccd" 1636 "fermentation" 9179 "Roseburia"
"3205" "36caa0947edc8a9f34b0421365f2cccd" 1634 "animal_parasites_or_symbionts" 9179 "Roseburia"
"3206" "36caa0947edc8a9f34b0421365f2cccd" 1638 "human_gut" 9179 "Roseburia"
"3209" "36caa0947edc8a9f34b0421365f2cccd" 1637 "human_associated" 9179 "Roseburia"
"3211" "36caa0947edc8a9f34b0421365f2cccd" 1639 "mammal_gut" 9179 "Roseburia"
"3231" "373509c4d87f73b26ae8f1832f1dfb74" 1651 "chemoheterotrophy" 1007 "Bifidobacterium"
"3247" "373509c4d87f73b26ae8f1832f1dfb74" 1652 "fermentation" 1007 "Bifidobacterium"
"3311" "3953734b6c460df408b158905072d672" 1704 "chemoheterotrophy" 4307 "Bifidobacterium"
"3315" "3953734b6c460df408b158905072d672" 1707 "human_gut" 4307 "Bifidobacterium"
"3319" "3953734b6c460df408b158905072d672" 1703 "animal_parasites_or_symbionts" 4307 "Bifidobacterium"
"3323" "3953734b6c460df408b158905072d672" 1706 "human_associated" 4307 "Bifidobacterium"
"3327" "3953734b6c460df408b158905072d672" 1708 "mammal_gut" 4307 "Bifidobacterium"
"3335" "3953734b6c460df408b158905072d672" 1705 "fermentation" 4307 "Bifidobacterium"
"3551" "3ebc195e31ab4c63d1371350397e04da" 1828 "human_associated" 363 "Roseburia"
"3552" "3ebc195e31ab4c63d1371350397e04da" 1829 "human_gut" 363 "Roseburia"
"3553" "3ebc195e31ab4c63d1371350397e04da" 1827 "fermentation" 363 "Roseburia"
"3557" "3ebc195e31ab4c63d1371350397e04da" 1826 "chemoheterotrophy" 363 "Roseburia"
"3558" "3ebc195e31ab4c63d1371350397e04da" 1830 "mammal_gut" 363 "Roseburia"
"3567" "3ebc195e31ab4c63d1371350397e04da" 1825 "animal_parasites_or_symbionts" 363 "Roseburia"
"3581" "405bf4ad759f9e185d96f892b5eed1c1" 1864 "human_associated" 10875 "Roseburia"
"3582" "405bf4ad759f9e185d96f892b5eed1c1" 1863 "fermentation" 10875 "Roseburia"
"3584" "405bf4ad759f9e185d96f892b5eed1c1" 1866 "mammal_gut" 10875 "Roseburia"
"3585" "405bf4ad759f9e185d96f892b5eed1c1" 1862 "chemoheterotrophy" 10875 "Roseburia"
"3587" "405bf4ad759f9e185d96f892b5eed1c1" 1865 "human_gut" 10875 "Roseburia"
"3594" "405bf4ad759f9e185d96f892b5eed1c1" 1861 "animal_parasites_or_symbionts" 10875 "Roseburia"
"3611" "414b76ab619b0b867eec92095fd55310" 1897 "mammal_gut" 2044 "Roseburia"
"3612" "414b76ab619b0b867eec92095fd55310" 1893 "chemoheterotrophy" 2044 "Roseburia"
"3613" "414b76ab619b0b867eec92095fd55310" 1894 "fermentation" 2044 "Roseburia"
"3614" "414b76ab619b0b867eec92095fd55310" 1896 "human_gut" 2044 "Roseburia"
"3617" "414b76ab619b0b867eec92095fd55310" 1895 "human_associated" 2044 "Roseburia"
"3618" "414b76ab619b0b867eec92095fd55310" 1892 "animal_parasites_or_symbionts" 2044 "Roseburia"
"3641" "4187fed434317f3fd83e8a5169fdd14b" 1903 "chemoheterotrophy" 1139 "Caulobacter"
"3649" "4187fed434317f3fd83e8a5169fdd14b" 1902 "aerobic_chemoheterotrophy" 1139 "Caulobacter"
"3721" "4a27cc457a6a7d688f989594a2a1ca33" 2132 "human_gut" 8434 "Roseburia"
"3722" "4a27cc457a6a7d688f989594a2a1ca33" 2133 "mammal_gut" 8434 "Roseburia"
"3723" "4a27cc457a6a7d688f989594a2a1ca33" 2131 "human_associated" 8434 "Roseburia"
"3725" "4a27cc457a6a7d688f989594a2a1ca33" 2129 "chemoheterotrophy" 8434 "Roseburia"
"3730" "4a27cc457a6a7d688f989594a2a1ca33" 2130 "fermentation" 8434 "Roseburia"
"3739" "4a27cc457a6a7d688f989594a2a1ca33" 2128 "animal_parasites_or_symbionts" 8434 "Roseburia"
"3751" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2580 "animal_parasites_or_symbionts" 2311 "Enhydrobacter"
"3755" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2585 "mammal_gut" 2311 "Enhydrobacter"
"3759" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2581 "chemoheterotrophy" 2311 "Enhydrobacter"
"3763" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2582 "fermentation" 2311 "Enhydrobacter"
"3767" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2586 "nitrate_reduction" 2311 "Enhydrobacter"
"3771" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2583 "human_associated" 2311 "Enhydrobacter"
"3775" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2579 "aerobic_chemoheterotrophy" 2311 "Enhydrobacter"
"3779" "5984f00dc62cbdbafd5f102dcf6b0cb4" 2584 "human_gut" 2311 "Enhydrobacter"
"4071" "5c198c478ec8569a7fb8e174fad28951" 2672 "human_associated" 10357 "Enhydrobacter"
"4075" "5c198c478ec8569a7fb8e174fad28951" 2668 "aerobic_chemoheterotrophy" 10357 "Enhydrobacter"
"4079" "5c198c478ec8569a7fb8e174fad28951" 2669 "animal_parasites_or_symbionts" 10357 "Enhydrobacter"
"4083" "5c198c478ec8569a7fb8e174fad28951" 2674 "mammal_gut" 10357 "Enhydrobacter"
"4087" "5c198c478ec8569a7fb8e174fad28951" 2675 "nitrate_reduction" 10357 "Enhydrobacter"
"4091" "5c198c478ec8569a7fb8e174fad28951" 2673 "human_gut" 10357 "Enhydrobacter"
"4095" "5c198c478ec8569a7fb8e174fad28951" 2671 "fermentation" 10357 "Enhydrobacter"
"4119" "5c198c478ec8569a7fb8e174fad28951" 2670 "chemoheterotrophy" 10357 "Enhydrobacter"
"4391" "629d11e2430971ffbda8e13b3342515d" 2863 "mammal_gut" 6356 "Roseburia"
"4393" "629d11e2430971ffbda8e13b3342515d" 2862 "human_gut" 6356 "Roseburia"
"4394" "629d11e2430971ffbda8e13b3342515d" 2861 "human_associated" 6356 "Roseburia"
"4396" "629d11e2430971ffbda8e13b3342515d" 2860 "fermentation" 6356 "Roseburia"
"4397" "629d11e2430971ffbda8e13b3342515d" 2859 "chemoheterotrophy" 6356 "Roseburia"
"4400" "629d11e2430971ffbda8e13b3342515d" 2858 "animal_parasites_or_symbionts" 6356 "Roseburia"
"4421" "645b6b9f20ec71e0ada03ba9c8d40541" 2898 "nitrate_reduction" 1925 "Cedecea"
"4437" "645b6b9f20ec71e0ada03ba9c8d40541" 2897 "fermentation" 1925 "Cedecea"
"4445" "645b6b9f20ec71e0ada03ba9c8d40541" 2896 "chemoheterotrophy" 1925 "Cedecea"
"4541" "6468029ca7ea8331573c3d971530a7e5" 2900 "fermentation" 252 "Bifidobacterium"
"4545" "6468029ca7ea8331573c3d971530a7e5" 2899 "chemoheterotrophy" 252 "Bifidobacterium"
"4621" "6872a9b33cf3e602dcbdce21d92ac2e4" 3025 "fermentation" 2094 "Roseburia"
"4622" "6872a9b33cf3e602dcbdce21d92ac2e4" 3028 "mammal_gut" 2094 "Roseburia"
"4623" "6872a9b33cf3e602dcbdce21d92ac2e4" 3027 "human_gut" 2094 "Roseburia"
"4630" "6872a9b33cf3e602dcbdce21d92ac2e4" 3024 "chemoheterotrophy" 2094 "Roseburia"
"4631" "6872a9b33cf3e602dcbdce21d92ac2e4" 3023 "animal_parasites_or_symbionts" 2094 "Roseburia"
"4632" "6872a9b33cf3e602dcbdce21d92ac2e4" 3026 "human_associated" 2094 "Roseburia"
"4651" "6a8e34c34c852052fbb2ef47f31923cf" 3077 "human_gut" 219 "Bifidobacterium"
"4655" "6a8e34c34c852052fbb2ef47f31923cf" 3078 "mammal_gut" 219 "Bifidobacterium"
"4659" "6a8e34c34c852052fbb2ef47f31923cf" 3075 "fermentation" 219 "Bifidobacterium"
"4675" "6a8e34c34c852052fbb2ef47f31923cf" 3076 "human_associated" 219 "Bifidobacterium"
"4731" "6a8e34c34c852052fbb2ef47f31923cf" 3074 "chemoheterotrophy" 219 "Bifidobacterium"
"4743" "6a8e34c34c852052fbb2ef47f31923cf" 3073 "animal_parasites_or_symbionts" 219 "Bifidobacterium"
"4891" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3094 "chemoheterotrophy" 7265 "Enhydrobacter"
"4895" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3098 "mammal_gut" 7265 "Enhydrobacter"
"4899" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3093 "animal_parasites_or_symbionts" 7265 "Enhydrobacter"
"4903" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3096 "human_associated" 7265 "Enhydrobacter"
"4907" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3092 "aerobic_chemoheterotrophy" 7265 "Enhydrobacter"
"4911" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3097 "human_gut" 7265 "Enhydrobacter"
"4923" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3095 "fermentation" 7265 "Enhydrobacter"
"4927" "6b0d0bca0a42f5d0bf2fc1c471c797f5" 3099 "nitrate_reduction" 7265 "Enhydrobacter"
"5211" "6ef3614f4610b167730ef84c297a00d8" 3204 "chemoheterotrophy" 2159 "Bifidobacterium"
"5219" "6ef3614f4610b167730ef84c297a00d8" 3205 "fermentation" 2159 "Bifidobacterium"
"5291" "702add448b05e3087ea6cecea7dd90b4" 3254 "human_gut" 2438 "Coprococcus"
"5295" "702add448b05e3087ea6cecea7dd90b4" 3252 "fermentation" 2438 "Coprococcus"
"5299" "702add448b05e3087ea6cecea7dd90b4" 3255 "mammal_gut" 2438 "Coprococcus"
"5319" "702add448b05e3087ea6cecea7dd90b4" 3251 "chemoheterotrophy" 2438 "Coprococcus"
"5343" "702add448b05e3087ea6cecea7dd90b4" 3253 "human_associated" 2438 "Coprococcus"
"5347" "702add448b05e3087ea6cecea7dd90b4" 3250 "animal_parasites_or_symbionts" 2438 "Coprococcus"
"5531" "714f31249f51999f442ce25770a0cab0" 3288 "human_associated" 1625 "Roseburia"
"5532" "714f31249f51999f442ce25770a0cab0" 3286 "chemoheterotrophy" 1625 "Roseburia"
"5533" "714f31249f51999f442ce25770a0cab0" 3289 "human_gut" 1625 "Roseburia"
"5534" "714f31249f51999f442ce25770a0cab0" 3285 "animal_parasites_or_symbionts" 1625 "Roseburia"
"5536" "714f31249f51999f442ce25770a0cab0" 3287 "fermentation" 1625 "Roseburia"
"5545" "714f31249f51999f442ce25770a0cab0" 3290 "mammal_gut" 1625 "Roseburia"
"5561" "73151e203876addc0498d77ff3d30dbb" 3348 "mammal_gut" 3306 "Bifidobacterium"
"5573" "73151e203876addc0498d77ff3d30dbb" 3347 "human_gut" 3306 "Bifidobacterium"
"5581" "73151e203876addc0498d77ff3d30dbb" 3346 "human_associated" 3306 "Bifidobacterium"
"5585" "73151e203876addc0498d77ff3d30dbb" 3345 "fermentation" 3306 "Bifidobacterium"
"5601" "73151e203876addc0498d77ff3d30dbb" 3344 "chemoheterotrophy" 3306 "Bifidobacterium"
"5613" "73151e203876addc0498d77ff3d30dbb" 3343 "animal_parasites_or_symbionts" 3306 "Bifidobacterium"
"5801" "75313703ac797dbe0e50f4efa49e6076" 3420 "fermentation" 994 "Roseburia"
"5802" "75313703ac797dbe0e50f4efa49e6076" 3421 "human_associated" 994 "Roseburia"
"5803" "75313703ac797dbe0e50f4efa49e6076" 3419 "chemoheterotrophy" 994 "Roseburia"
"5811" "75313703ac797dbe0e50f4efa49e6076" 3422 "human_gut" 994 "Roseburia"
"5812" "75313703ac797dbe0e50f4efa49e6076" 3423 "mammal_gut" 994 "Roseburia"
"5814" "75313703ac797dbe0e50f4efa49e6076" 3418 "animal_parasites_or_symbionts" 994 "Roseburia"
"5831" "757710fb0978e284bb345791812ea5fd" 3438 "chemoheterotrophy" 1318 "Bifidobacterium"
"5835" "757710fb0978e284bb345791812ea5fd" 3439 "fermentation" 1318 "Bifidobacterium"
"5911" "7ab75cab57b5851792bc11d336e72cb9" 3575 "mammal_gut" 2855 "Bifidobacterium"
"5919" "7ab75cab57b5851792bc11d336e72cb9" 3574 "human_gut" 2855 "Bifidobacterium"
"5931" "7ab75cab57b5851792bc11d336e72cb9" 3573 "human_associated" 2855 "Bifidobacterium"
"5935" "7ab75cab57b5851792bc11d336e72cb9" 3572 "fermentation" 2855 "Bifidobacterium"
"5943" "7ab75cab57b5851792bc11d336e72cb9" 3570 "animal_parasites_or_symbionts" 2855 "Bifidobacterium"
"5947" "7ab75cab57b5851792bc11d336e72cb9" 3571 "chemoheterotrophy" 2855 "Bifidobacterium"
"6151" "858e7264470f964c71afea2ef8e2d3b4" 3878 "fermentation" 1481 "Bifidobacterium"
"6155" "858e7264470f964c71afea2ef8e2d3b4" 3877 "chemoheterotrophy" 1481 "Bifidobacterium"
