"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "026fd7611ae2c3884517a42be3f9dab4" 76 "animal_parasites_or_symbionts" 4368 "Staphylococcus"
"3" "026fd7611ae2c3884517a42be3f9dab4" 77 "human_associated" 4368 "Staphylococcus"
"9" "026fd7611ae2c3884517a42be3f9dab4" 78 "human_pathogens_all" 4368 "Staphylococcus"
"11" "026fd7611ae2c3884517a42be3f9dab4" 79 "nitrate_reduction" 4368 "Staphylococcus"
"13" "026fd7611ae2c3884517a42be3f9dab4" 80 "ureolysis" 4368 "Staphylococcus"
"21" "0385de350363015f85ea9bff648faa60" 136 "human_pathogens_all" 493 "Staphylococcus"
"23" "0385de350363015f85ea9bff648faa60" 137 "nitrate_reduction" 493 "Staphylococcus"
"25" "0385de350363015f85ea9bff648faa60" 134 "animal_parasites_or_symbionts" 493 "Staphylococcus"
"27" "0385de350363015f85ea9bff648faa60" 135 "human_associated" 493 "Staphylococcus"
"37" "0385de350363015f85ea9bff648faa60" 138 "ureolysis" 493 "Staphylococcus"
"41" "07e28b847092b72b11f90a46392fe908" 274 "aerobic_chemoheterotrophy" 10539 "Nocardioides"
"45" "07e28b847092b72b11f90a46392fe908" 275 "aromatic_compound_degradation" 10539 "Nocardioides"
"47" "07e28b847092b72b11f90a46392fe908" 276 "chemoheterotrophy" 10539 "Nocardioides"
"49" "07e28b847092b72b11f90a46392fe908" 277 "nitrate_reduction" 10539 "Nocardioides"
"57" "0bf7aa95a4ac0ca5cfe1e5ea44e50de4" 403 "aerobic_chemoheterotrophy" 8151 "Novosphingobium"
"61" "0bf7aa95a4ac0ca5cfe1e5ea44e50de4" 404 "chemoheterotrophy" 8151 "Novosphingobium"
"65" "0c5318cc5b61aa356a922215111442a1" 418 "aerobic_chemoheterotrophy" 4804 "Nocardioides"
"69" "0c5318cc5b61aa356a922215111442a1" 419 "aromatic_compound_degradation" 4804 "Nocardioides"
"71" "0c5318cc5b61aa356a922215111442a1" 420 "chemoheterotrophy" 4804 "Nocardioides"
"77" "0f0404ff14808a9391b351faa9ba691c" 477 "chemoheterotrophy" 6737 "Nocardioides"
"79" "0f0404ff14808a9391b351faa9ba691c" 475 "aerobic_chemoheterotrophy" 6737 "Nocardioides"
"81" "0f0404ff14808a9391b351faa9ba691c" 476 "aromatic_compound_degradation" 6737 "Nocardioides"
"89" "108abbea43ea8b56f89424924bcd3166" 514 "animal_parasites_or_symbionts" 511 "Staphylococcus"
"91" "108abbea43ea8b56f89424924bcd3166" 515 "human_associated" 511 "Staphylococcus"
"93" "108abbea43ea8b56f89424924bcd3166" 517 "nitrate_reduction" 511 "Staphylococcus"
"95" "108abbea43ea8b56f89424924bcd3166" 518 "ureolysis" 511 "Staphylococcus"
"97" "108abbea43ea8b56f89424924bcd3166" 516 "human_pathogens_all" 511 "Staphylococcus"
"109" "120913424b6797c3cac8d2b019e78f43" 541 "animal_parasites_or_symbionts" 1538 "Staphylococcus"
"111" "120913424b6797c3cac8d2b019e78f43" 542 "human_associated" 1538 "Staphylococcus"
"117" "120913424b6797c3cac8d2b019e78f43" 543 "human_pathogens_all" 1538 "Staphylococcus"
"119" "120913424b6797c3cac8d2b019e78f43" 544 "nitrate_reduction" 1538 "Staphylococcus"
"121" "120913424b6797c3cac8d2b019e78f43" 545 "ureolysis" 1538 "Staphylococcus"
"129" "1542e91c99d9766e4afa866f20f227e2" 626 "animal_parasites_or_symbionts" 31 "Staphylococcus"
"131" "1542e91c99d9766e4afa866f20f227e2" 627 "human_associated" 31 "Staphylococcus"
"133" "1542e91c99d9766e4afa866f20f227e2" 628 "human_pathogens_all" 31 "Staphylococcus"
"141" "1542e91c99d9766e4afa866f20f227e2" 629 "nitrate_reduction" 31 "Staphylococcus"
"143" "1542e91c99d9766e4afa866f20f227e2" 630 "ureolysis" 31 "Staphylococcus"
"149" "159febc799ee9e9d5359d15c2ea55306" 638 "animal_parasites_or_symbionts" 6807 "Staphylococcus"
"151" "159febc799ee9e9d5359d15c2ea55306" 639 "human_associated" 6807 "Staphylococcus"
"157" "159febc799ee9e9d5359d15c2ea55306" 640 "human_pathogens_all" 6807 "Staphylococcus"
"159" "159febc799ee9e9d5359d15c2ea55306" 641 "nitrate_reduction" 6807 "Staphylococcus"
"161" "159febc799ee9e9d5359d15c2ea55306" 642 "ureolysis" 6807 "Staphylococcus"
"169" "1617f149835c4ed21888c427cca17a5d" 653 "aerobic_chemoheterotrophy" 8631 "Nocardioides"
"173" "1617f149835c4ed21888c427cca17a5d" 654 "aromatic_compound_degradation" 8631 "Nocardioides"
"175" "1617f149835c4ed21888c427cca17a5d" 655 "chemoheterotrophy" 8631 "Nocardioides"
"181" "191cc600fc04e03a310d738e8498a44c" 730 "aerobic_chemoheterotrophy" 10490 "Nocardioides"
"183" "191cc600fc04e03a310d738e8498a44c" 732 "chemoheterotrophy" 10490 "Nocardioides"
"185" "191cc600fc04e03a310d738e8498a44c" 733 "nitrate_reduction" 10490 "Nocardioides"
"189" "191cc600fc04e03a310d738e8498a44c" 731 "aromatic_compound_degradation" 10490 "Nocardioides"
"197" "19538e6405804e0a5c1124fae021f2b3" 736 "animal_parasites_or_symbionts" 355 "Staphylococcus"
"199" "19538e6405804e0a5c1124fae021f2b3" 738 "human_pathogens_all" 355 "Staphylococcus"
