"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "000adad1d734252c8f9cfe4f7cf65952" 1 "nitrate_reduction" 4456 "Corynebacterium"
"13" "000adad1d734252c8f9cfe4f7cf65952" 2 "ureolysis" 4456 "Corynebacterium"
"37" "023fef4950ec419bb65c2ce5081eb41d" 65 "ureolysis" 6551 "Corynebacterium"
"40" "023fef4950ec419bb65c2ce5081eb41d" 64 "nitrate_reduction" 6551 "Corynebacterium"
"73" "054abb4a7f9523aca6216f86e88dc31e" 195 "fermentation" 1964 "Sharpea"
"85" "054abb4a7f9523aca6216f86e88dc31e" 194 "chemoheterotrophy" 1964 "Sharpea"
"109" "070e82bdfac19562e03c0b3c3972fd53" 253 "chemoheterotrophy" 6303 "Olsenella"
"118" "070e82bdfac19562e03c0b3c3972fd53" 254 "fermentation" 6303 "Olsenella"
"145" "0c416bb1ef62f13288e440253605f1f6" 414 "aerobic_chemoheterotrophy" 2865 "Brevibacterium"
"154" "0c416bb1ef62f13288e440253605f1f6" 415 "chemoheterotrophy" 2865 "Brevibacterium"
"181" "0ca6e319ee4e21dacb603bd3b0031bfc" 423 "nitrate_reduction" 443 "Corynebacterium"
"190" "0ca6e319ee4e21dacb603bd3b0031bfc" 424 "ureolysis" 443 "Corynebacterium"
"217" "13aa2171746c07c1dbc34236fea9eafc" 573 "chemoheterotrophy" 10206 "Olsenella"
"220" "13aa2171746c07c1dbc34236fea9eafc" 574 "fermentation" 10206 "Olsenella"
"253" "141110a7ee911b782a3a4c3970a7a3fe" 592 "chemoheterotrophy" 2759 "Olsenella"
"265" "141110a7ee911b782a3a4c3970a7a3fe" 593 "fermentation" 2759 "Olsenella"
"289" "162efe54895885f3c8d51156f4fad0a2" 658 "chemoheterotrophy" 6483 "Corynebacterium"
"292" "162efe54895885f3c8d51156f4fad0a2" 659 "fermentation" 6483 "Corynebacterium"
"325" "167545fd124144bd6981dc542e81530d" 672 "nitrate_reduction" 1068 "Corynebacterium"
"334" "167545fd124144bd6981dc542e81530d" 673 "ureolysis" 1068 "Corynebacterium"
"361" "17d3591d62dd3017c724250f720cb4fb" 702 "animal_parasites_or_symbionts" 4735 "Corynebacterium"
"367" "17d3591d62dd3017c724250f720cb4fb" 703 "human_associated" 4735 "Corynebacterium"
"376" "17d3591d62dd3017c724250f720cb4fb" 704 "human_pathogens_all" 4735 "Corynebacterium"
"415" "17e95421b6067c31392404175683e061" 706 "fermentation" 3339 "Weissella"
"418" "17e95421b6067c31392404175683e061" 705 "chemoheterotrophy" 3339 "Weissella"
"451" "1dc9cb3f556b8ea3f1b2ec2649b66513" 866 "fermentation" 1486 "Corynebacterium"
"454" "1dc9cb3f556b8ea3f1b2ec2649b66513" 865 "chemoheterotrophy" 1486 "Corynebacterium"
"460" "1dc9cb3f556b8ea3f1b2ec2649b66513" 867 "nitrate_reduction" 1486 "Corynebacterium"
"505" "2058ce5369d0c554c5d3d61029f43f85" 950 "chemoheterotrophy" 3683 "Weissella"
"514" "2058ce5369d0c554c5d3d61029f43f85" 951 "fermentation" 3683 "Weissella"
"541" "20cce44a4030ba5d87e7cc467b9da469" 964 "chemoheterotrophy" 116 "Corynebacterium"
"544" "20cce44a4030ba5d87e7cc467b9da469" 965 "fermentation" 116 "Corynebacterium"
"547" "20cce44a4030ba5d87e7cc467b9da469" 966 "nitrate_reduction" 116 "Corynebacterium"
"595" "20cf8b3e9aecfeab2daf9b79e7c89f6e" 976 "chemoheterotrophy" 6370 "Olsenella"
"607" "20cf8b3e9aecfeab2daf9b79e7c89f6e" 977 "fermentation" 6370 "Olsenella"
"631" "2102e3e1d6e4298f2de96e09df962920" 986 "nitrate_reduction" 9307 "Petrimonas"
"634" "2102e3e1d6e4298f2de96e09df962920" 990 "nitrogen_respiration" 9307 "Petrimonas"
"637" "2102e3e1d6e4298f2de96e09df962920" 984 "fermentation" 9307 "Petrimonas"
"640" "2102e3e1d6e4298f2de96e09df962920" 985 "nitrate_ammonification" 9307 "Petrimonas"
"667" "2102e3e1d6e4298f2de96e09df962920" 983 "chemoheterotrophy" 9307 "Petrimonas"
"679" "2102e3e1d6e4298f2de96e09df962920" 987 "nitrate_respiration" 9307 "Petrimonas"
"682" "2102e3e1d6e4298f2de96e09df962920" 988 "nitrite_ammonification" 9307 "Petrimonas"
"685" "2102e3e1d6e4298f2de96e09df962920" 989 "nitrite_respiration" 9307 "Petrimonas"
"775" "21a353aed4c7ef381721d617c23b53ac" 995 "nitrate_reduction" 3078 "Corynebacterium"
