"X2" "X1.x" "X3.x" "X1.y" "X3.y"
"1" "26ea2f966f610e44621460fadb2feba7" 1162 "aerobic_chemoheterotrophy" 6497 "Nitriliruptor"
"16" "26ea2f966f610e44621460fadb2feba7" 1163 "chemoheterotrophy" 6497 "Nitriliruptor"
"151" "3a43807d1a200037e1537a2246f037ac" 1729 "aerobic_chemoheterotrophy" 7172 "Nitriliruptor"
"156" "3a43807d1a200037e1537a2246f037ac" 1730 "chemoheterotrophy" 7172 "Nitriliruptor"
"301" "46bc2060160576e573292c241962daf6" 2046 "aerobic_chemoheterotrophy" 2688 "Ornithinicoccus"
"311" "46bc2060160576e573292c241962daf6" 2047 "chemoheterotrophy" 2688 "Ornithinicoccus"
"451" "490a94f8fe1ad048706a5c9a6a0d4b65" 2104 "aerobic_chemoheterotrophy" 2481 "Nitriliruptor"
"456" "490a94f8fe1ad048706a5c9a6a0d4b65" 2105 "chemoheterotrophy" 2481 "Nitriliruptor"
"601" "4ae883abadaab7432cf71ce3427bd6af" 2144 "aerobic_chemoheterotrophy" 1946 "Ornithinicoccus"
"621" "4ae883abadaab7432cf71ce3427bd6af" 2145 "chemoheterotrophy" 1946 "Ornithinicoccus"
"751" "62abb61c1e62f478bbc317903ed4f7ca" 2865 "chemoheterotrophy" 10195 "Ornithinicoccus"
"756" "62abb61c1e62f478bbc317903ed4f7ca" 2864 "aerobic_chemoheterotrophy" 10195 "Ornithinicoccus"
"901" "71b73ca9c60868127b38279f67be0de0" 3318 "aerobic_chemoheterotrophy" 10394 "Ornithinicoccus"
"931" "71b73ca9c60868127b38279f67be0de0" 3319 "chemoheterotrophy" 10394 "Ornithinicoccus"
"1051" "7660f8adf7cb6a0c89e22a4c1ed7eaf9" 3463 "aerobic_chemoheterotrophy" 1656 "Ornithinicoccus"
"1066" "7660f8adf7cb6a0c89e22a4c1ed7eaf9" 3464 "chemoheterotrophy" 1656 "Ornithinicoccus"
"1201" "79746a8c7e32d661ecde6164f1de5cbe" 3534 "chemoheterotrophy" 4790 "Nitriliruptor"
"1216" "79746a8c7e32d661ecde6164f1de5cbe" 3533 "aerobic_chemoheterotrophy" 4790 "Nitriliruptor"
"1351" "8f4669f77ed406cda6f8ea7c16d2ff50" 4252 "aerobic_chemoheterotrophy" 10531 "Nitriliruptor"
"1361" "8f4669f77ed406cda6f8ea7c16d2ff50" 4253 "chemoheterotrophy" 10531 "Nitriliruptor"
"1501" "c67c62d33f2d89b4426fd56f44a23ca6" 5923 "chemoheterotrophy" 2993 "Nitriliruptor"
"1511" "c67c62d33f2d89b4426fd56f44a23ca6" 5922 "aerobic_chemoheterotrophy" 2993 "Nitriliruptor"
"1651" "dc7312f28c4813ffd644526f33ab6335" 6581 "aerobic_chemoheterotrophy" 9230 "Ornithinicoccus"
"1661" "dc7312f28c4813ffd644526f33ab6335" 6582 "chemoheterotrophy" 9230 "Ornithinicoccus"
"1801" "e4e0de0dc71eb9dbb1f1dc9b2f6ce6a4" 6807 "chemoheterotrophy" 8053 "Nitriliruptor"
"1806" "e4e0de0dc71eb9dbb1f1dc9b2f6ce6a4" 6806 "aerobic_chemoheterotrophy" 8053 "Nitriliruptor"
"1951" "ed3360d9f34319aef382767c336e2d99" 7034 "aerobic_chemoheterotrophy" 8217 "Ornithinicoccus"
"1956" "ed3360d9f34319aef382767c336e2d99" 7035 "chemoheterotrophy" 8217 "Ornithinicoccus"
"2101" "fcc40af3ae96dbb69644924aa12cd10c" 7468 "chemoheterotrophy" 5158 "Nitriliruptor"
"2106" "fcc40af3ae96dbb69644924aa12cd10c" 7467 "aerobic_chemoheterotrophy" 5158 "Nitriliruptor"
