"","x"
"1","Streptococcus"
"2","Elizabethkingia"
"3","Enhydrobacter"
"4","Kocuria"
"5","Acinetobacter"
"6","Rothia"
"7","Alkanindiges"
"8","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"9","Lactococcus"
"10","Nonlabens"
"11","Rhizobium"
"12","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"13","Bdellovibrio"
"14","Pedobacter"
"15","Brevundimonas"
"16","Pseudoxanthomonas"
"17","Aurantimonas"
"18","Snodgrassella"
"19","Ochrobactrum"
"20","Peredibacter"
"21","Sphingomonas"
"22","Mucilaginibacter"
