"","x"
"1","Flavobacterium"
"2","Petrimonas"
"3","ph2"
"4","Kribbia"
"5","GW-34"
"6","Arcobacter"
"7","Macellibacteroides"
"8","Campylobacter"
"9","Advenella"
"10","Anaerobiospirillum"
"11","Helcococcus"
