"","x"
"1","Streptococcus"
"2","Atopococcus"
"3","Granulicatella"
"4","Ornithinimicrobium"
"5","Rothia"
"6","Helcobacillus"
"7","Micrococcus"
"8","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides"
"9","Ochrobactrum"
"10","[Clostridium]"
"11","Nocardioides"
"12","Deinobacterium"
"13","Alysiella"
"14","Psychrobacter"
"15","Nitriliruptor"
"16","Caldimonas"
"17","Elizabethkingia"
"18","Dietzia"
"19","Albidovulum"
"20","Blastococcus"
"21","Ornithinicoccus"
"22","Bergeyella"
"23","Actinobacillus"
"24","Bordetella"
"25","Olsenella"
"26","Beutenbergia"
"27","Syntrophococcus"
"28","Bibersteinia"
"29","Porphyrobacter"
"30","[Prevotella]"
"31","Abiotrophia"
"32","Pusillimonas"
"33","Thermomonas"
"34","Deinococcus"
"35","Xanthobacter"
