"index","lable","cluster","degree"
10,"Anaerococcus",2,0.757575757575758
15,"Trueperella",2,0.757575757575758
19,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",2,0.737373737373737
36,"GW-34",2,0.757575757575758
39,"ph2",2,0.767676767676768
