"","x"
"1","Streptococcus"
"2","Kocuria"
"3","Elizabethkingia"
"4","Enhydrobacter"
"5","Lactococcus"
"6","Acinetobacter"
"7","Nonlabens"
"8","Pseudoxanthomonas"
"9","Bordetella"
"10","Pedobacter"
"11","Snodgrassella"
"12","Alkanindiges"
"13","Ochrobactrum"
"14","Rhizobium"
"15","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"16","Brevundimonas"
"17","Albidovulum"
"18","Porphyrobacter"
"19","Mucilaginibacter"
"20","Bdellovibrio"
"21","Gluconacetobacter"
