"","x"
"1","Macrococcus"
"2","Corynebacterium"
"3","Atopostipes"
"4","Millisia"
"5","Acinetobacter"
"6","Trueperella"
"7","Dietzia"
"8","GW-34"
"9","Arcobacter"
"10","Pedobacter"
"11","Lysobacter"
"12","Desulfovibrio"
"13","Isobaculum"
"14","Alkalibacterium"
