"","x"
"1","Atopococcus"
"2","Granulicatella"
"3","ph2"
"4","Weissella"
"5","Papillibacter"
"6","Kribbia"
"7","Dysgonomonas"
"8","Xanthobacter"
"9","Sphingobacterium"
