"index","lable","cluster","hubs","degree"
124,"Anaerorhabdus",4,0,0.148514851485149
125,"Bulleidia",2,0,0.316831683168317
126,"Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Clostridium",2,0,0.341584158415842
127,"Sharpea",2,0,0.346534653465347
128,"Streptobacillus",2,0,0.0198019801980198
129,"Brevundimonas",1,1,0.465346534653465
130,"Caulobacter",1,0,0.0297029702970297
131,"Nitrobacteria",3,0,0.193069306930693
132,"Aurantimonas",1,0,0.396039603960396
133,"Chelatococcus",3,0,0.0396039603960396
134,"Salinarimonas",1,0,0.0297029702970297
135,"Ochrobactrum",3,0,0.148514851485149
136,"Aquamicrobium",3,0,0.0643564356435644
137,"Amorphomonas",3,0,0.0445544554455446
138,"Rhizobium",4,1,0.386138613861386
139,"Xanthobacter",1,0,0.00495049504950495
140,"Albidovulum",1,0,0.207920792079208
141,"Oceaniovalibus",2,0,0.0198019801980198
142,"Paracoccus",4,0,0.361386138613861
143,"Saccharibacter",1,0,0.0396039603960396
144,"Dongia",1,0,0.0891089108910891
145,"Oceanibaculum",3,0,0.0594059405940594
146,"Erythrobacter",3,0,0.193069306930693
147,"Porphyrobacter",4,0,0.0841584158415842
148,"Novosphingobium",1,0,0.336633663366337
149,"Sphingobium",1,1,0.415841584158416
150,"Sphingomonas",4,0,0.381188118811881
151,"Advenella",1,0,0.0247524752475248
152,"Bordetella",1,0,0.0544554455445545
153,"Kerstersia",1,0,0.0495049504950495
154,"Oligella",2,0,0.371287128712871
155,"Pusillimonas",1,0,0.0297029702970297
156,"Acidovorax",4,0,0.153465346534653
157,"Caldimonas",4,0,0.163366336633663
158,"Pelomonas",4,0,0.381188118811881
159,"Sphaerotilus",4,0,0.212871287128713
160,"Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Comamonadaceae_Vitreoscilla",4,0,0.356435643564356
161,"Massilia",2,0,0.202970297029703
162,"Methylotenera",4,1,0.386138613861386
163,"Alysiella",4,0,0.336633663366337
164,"Aquaspirillum",4,0,0.227722772277228
165,"Gulbenkiania",1,1,0.420792079207921
166,"Snodgrassella",1,0,0.0544554455445545
167,"Bacteria_Proteobacteria_Betaproteobacteria_Neisseriales_Neisseriaceae_Vitreoscilla",2,0,0.351485148514851
168,"Azospira",3,0,0.183168316831683
169,"Denitromonas",2,0,0.242574257425743
170,"Peredibacter",3,0,0.0544554455445545
171,"Bdellovibrio",1,0,0.0396039603960396
172,"Desulfovibrio",4,0,0.143564356435644
173,"Arcobacter",1,0,0.0346534653465347
174,"Campylobacter",2,0,0.311881188118812
175,"Helicobacter",4,1,0.440594059405941
176,"Aeromonas",4,0,0.386138613861386
177,"Anaerobiospirillum",2,0,0.396039603960396
178,"Ruminobacter",2,0,0.163366336633663
179,"Succinivibrio",2,0,0.391089108910891
180,"Rheinheimera",4,0,0.316831683168317
181,"Cedecea",3,0,0.0544554455445545
182,"Escherichia",3,0,0.0148514851485149
183,"Pantoea",3,0,0.173267326732673
184,"Proteus",1,0,0.00495049504950495
185,"Halomonas",1,0,0.113861386138614
186,"Bibersteinia",4,0,0.386138613861386
187,"Acinetobacter",1,1,0.46039603960396
188,"Alkanindiges",4,0,0.351485148514851
189,"Enhydrobacter",1,0,0.396039603960396
190,"Moraxella",3,0,0.183168316831683
191,"Psychrobacter",1,0,0.0099009900990099
192,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,0.410891089108911
193,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",3,0,0.0792079207920792
194,"Lysobacter",3,0,0.148514851485149
195,"Pseudoxanthomonas",3,0,0.123762376237624
196,"Thermomonas",3,0,0.0445544554455446
197,"Treponema",2,0,0.311881188118812
198,"Acholeplasma",4,0,0.133663366336634
199,"Mycoplasma",1,0,0.0495049504950495
200,"Akkermansia",1,0,0.153465346534653
