"","x"
"1","Streptococcus"
"2","Elizabethkingia"
"3","Bifidobacterium"
"4","Enhydrobacter"
"5","Lactococcus"
"6","Acinetobacter"
"7","Lacticigenium"
"8","Nonlabens"
"9","Pseudoxanthomonas"
"10","Bordetella"
"11","Pedobacter"
"12","Snodgrassella"
"13","Alkanindiges"
"14","Ochrobactrum"
"15","Rhizobium"
"16","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"17","Brevundimonas"
"18","Mucilaginibacter"
"19","Bdellovibrio"
"20","Caldimonas"
"21","Gluconacetobacter"
