"","x"
"1","Staphylococcus"
"2","Succinispira"
"3","Alistipes"
"4","Treponema"
"5","CF231"
"6","Ochrobactrum"
"7","[Clostridium]"
"8","Caldimonas"
"9","Deinobacterium"
"10","Rothia"
"11","Nitriliruptor"
"12","Oscillospira"
"13","Papillibacter"
"14","Blastococcus"
"15","Akkermansia"
"16","Sphingomonas"
"17","Sporobacter"
"18","Ornithinicoccus"
"19","Deinococcus"
"20","Isobaculum"
"21","Weissella"
"22","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides"
"23","Barnesiella"
"24","Bergeyella"
"25","Syntrophococcus"
"26","Defluviitalea"
"27","Denitromonas"
"28","Sphingobium"
