"index","lable","cluster","degree"
5,"Enhydrobacter",1,0.313131313131313
41,"Aeromonas",1,0.292929292929293
42,"Brevundimonas",1,0.282828282828283
47,"ph2",4,0.282828282828283
50,"GW-34",4,0.292929292929293
