"index","lable","cluster","degree"
32,"Collinsella",1,15
40,"Barnesiella",1,15
53,"Wautersiella",1,15
77,"Guggenheimella",1,15
87,"Dorea",1,15
104,"Selenomonas",1,15
129,"Advenella",1,15
149,"Arcobacter",1,15
153,"Anaerobiospirillum",1,15
154,"Succinivibrio",1,15
156,"Pantoea",1,15
