"","x"
"1","Streptococcus"
"2","Kocuria"
"3","Elizabethkingia"
"4","Lactococcus"
"5","Acinetobacter"
"6","Snodgrassella"
"7","Bordetella"
"8","Ochrobactrum"
"9","Alkanindiges"
"10","Rhizobium"
"11","Pseudoxanthomonas"
"12","Pedobacter"
"13","Nonlabens"
"14","Brevundimonas"
"15","Nitrobacteria"
"16","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"17","Luteimicrobium"
"18","Gluconacetobacter"
"19","Dysgonomonas"
"20","Xanthobacter"
"21","Sphingobacterium"
