Feature ID	Taxon	Confidence
7caed1b0bad4bc1153ee2654ecd99a8b	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.9999140422460955
f050befa4a602eefdbfb02591a8520ad	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.8089311292127962
93eebee63196415bde5f5f1e5f7656aa	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium	0.9934186483631785
05f7c9b56186c9d6956a3424b18f417a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae	0.7041521683412733
bd5e588bfc174e1dd6cbd7e7b7acf75e	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium	0.9923479431241534
4734a107fb774c46c0ecb974915a4781	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.7587794491702574
69c3b94a2562646fa2067da32c90b211	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.8192971776610618
6cfcb015a00c6f3fb16e6eec63f4a35c	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__terreus	0.7451839727013486
cd4a4cd5016bf44fe442b7072a21e1eb	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__breve	0.8383680119458001
5a14d138427aad4fec984865c3c2ff25	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Elizabethkingia; s__	0.9273623073932294
42c4392b0f2ce815ed2c339e476acfe4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae	0.9999516789344116
0a03b16721c0ccce232a61e5c070cb63	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Kocuria; s__kristinae	0.9983024285486812
c5570c72a6a36a33c8092188a1f271a2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Staphylococcus; s__saprophyticus	0.8803405306780153
52b245fb5c9ae8f0436701396f9a274f	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	0.7427389453396955
6838109acba57e348210df3164f59632	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter	0.7414946613171965
