"index","lable","cluster","degree","ev","between","close"
40,"Selenomonas",6,4,0.741668336311527,0.0759103641456583,0.376670652298229
45,"Collinsella",6,5,0.999708947585671,0,0.363334511959719
48,"Succinivibrio",6,5,0.721984983284049,0.142016806722689,0.399601642534721
51,"Dorea",6,5,1,0.0459383753501401,0.363349966461111
73,"Sporobacter",4,5,0.743142618516938,0.0352941176470588,0.401983567467414
