"Var1" "Freq"
"aerobic_chemoheterotrophy" 37
"animal_parasites_or_symbionts" 17
"aromatic_compound_degradation" 5
"chemoheterotrophy" 250
"chitinolysis" 46
"fermentation" 167
"fumarate_respiration" 1
"human_associated" 9
"human_gut" 1
"human_pathogens_all" 8
"human_pathogens_diarrhea" 5
"human_pathogens_meningitis" 1
"human_pathogens_septicemia" 1
"invertebrate_parasites" 5
"mammal_gut" 1
"nitrate_ammonification" 31
"nitrate_reduction" 84
"nitrate_respiration" 32
"nitrite_ammonification" 31
"nitrite_respiration" 31
"nitrogen_respiration" 32
"ureolysis" 34
