"Var1" "Freq"
"aerobic_chemoheterotrophy" 216
"aliphatic_non_methane_hydrocarbon_degradation" 25
"animal_parasites_or_symbionts" 89
"aromatic_compound_degradation" 52
"chemoheterotrophy" 323
"fermentation" 89
"human_associated" 73
"human_gut" 7
"human_pathogens_all" 66
"human_pathogens_meningitis" 66
"human_pathogens_septicemia" 66
"hydrocarbon_degradation" 25
"mammal_gut" 7
"nitrate_reduction" 7
"predatory_or_exoparasitic" 14
