"Var1" "Freq"
"aerobic_chemoheterotrophy" 136
"animal_parasites_or_symbionts" 191
"chemoheterotrophy" 428
"chitinolysis" 46
"fermentation" 246
"human_associated" 116
"human_gut" 50
"human_pathogens_all" 66
"human_pathogens_meningitis" 66
"human_pathogens_septicemia" 66
"intracellular_parasites" 2
"mammal_gut" 61
"nitrate_ammonification" 31
"nitrate_reduction" 74
"nitrate_respiration" 31
"nitrite_ammonification" 31
"nitrite_respiration" 31
"nitrogen_respiration" 31
"xylanolysis" 5
