"Var1" "Freq"
"aerobic_chemoheterotrophy" 97
"animal_parasites_or_symbionts" 228
"aromatic_compound_degradation" 68
"chemoheterotrophy" 430
"fermentation" 296
"human_associated" 153
"human_gut" 74
"human_pathogens_all" 79
"human_pathogens_diarrhea" 5
"invertebrate_parasites" 5
"mammal_gut" 85
"nitrate_reduction" 105
"ureolysis" 74
"xylanolysis" 5
