"Genus" "Function"
"1" "Enhydrobacter" "aerobic_chemoheterotrophy"
"2" "Enhydrobacter" "animal_parasites_or_symbionts"
"3" "Enhydrobacter" "chemoheterotrophy"
"4" "Enhydrobacter" "fermentation"
"5" "Enhydrobacter" "human_associated"
"6" "Enhydrobacter" "human_gut"
"7" "Enhydrobacter" "mammal_gut"
"8" "Enhydrobacter" "nitrate_reduction"
"9" "Arthrobacter" "ureolysis"
"10" "Acinetobacter" "aerobic_chemoheterotrophy"
"11" "Acinetobacter" "aromatic_compound_degradation"
"12" "Acinetobacter" "chemoheterotrophy"
"13" "Kocuria" "aerobic_chemoheterotrophy"
"14" "Kocuria" "chemoheterotrophy"
"15" "Sphingobium" "aerobic_chemoheterotrophy"
"16" "Sphingobium" "chemoheterotrophy"
"17" "Rheinheimera" "aerobic_chemoheterotrophy"
"18" "Rheinheimera" "chemoheterotrophy"
"19" "Rheinheimera" "nitrate_reduction"
"20" "Aeromonas" "chemoheterotrophy"
"21" "Aeromonas" "fermentation"
"22" "Aeromonas" "nitrate_reduction"
"23" "Sphingomonas" "aerobic_chemoheterotrophy"
"24" "Sphingomonas" "chemoheterotrophy"
