"Genus" "Function"
"1" "Succinispira" "chemoheterotrophy"
"2" "Succinispira" "fermentation"
"3" "[Clostridium]" "chemoheterotrophy"
"4" "[Clostridium]" "fermentation"
"5" "[Clostridium]" "animal_parasites_or_symbionts"
"6" "[Clostridium]" "aromatic_compound_degradation"
"7" "[Clostridium]" "human_associated"
"8" "[Clostridium]" "human_pathogens_all"
"9" "[Clostridium]" "human_pathogens_diarrhea"
"10" "[Clostridium]" "invertebrate_parasites"
"11" "Alistipes" "chemoheterotrophy"
"12" "Alistipes" "fermentation"
