"Genus" "Function"
"1" "Staphylococcus" "animal_parasites_or_symbionts"
"2" "Staphylococcus" "human_associated"
"3" "Staphylococcus" "human_pathogens_all"
"4" "Staphylococcus" "nitrate_reduction"
"5" "Staphylococcus" "ureolysis"
"6" "Micrococcus" "aerobic_chemoheterotrophy"
"7" "Micrococcus" "chemoheterotrophy"
"8" "Helcobacillus" "aerobic_chemoheterotrophy"
"9" "Helcobacillus" "chemoheterotrophy"
"10" "Ornithinimicrobium" "aerobic_chemoheterotrophy"
"11" "Ornithinimicrobium" "chemoheterotrophy"
"12" "Ornithinimicrobium" "nitrate_reduction"
"13" "Dietzia" "aerobic_chemoheterotrophy"
"14" "Dietzia" "chemoheterotrophy"
"15" "Papillibacter" "aromatic_compound_degradation"
"16" "Papillibacter" "chemoheterotrophy"
