"Genus" "Function"
"1" "Lactococcus" "chemoheterotrophy"
"2" "Lactococcus" "fermentation"
"3" "Nonlabens" "aerobic_chemoheterotrophy"
"4" "Nonlabens" "chemoheterotrophy"
"5" "Bordetella" "animal_parasites_or_symbionts"
"6" "Pedobacter" "aerobic_chemoheterotrophy"
"7" "Pedobacter" "chemoheterotrophy"
"8" "Alkanindiges" "chemoheterotrophy"
"9" "Alkanindiges" "aliphatic_non_methane_hydrocarbon_degradation"
"10" "Alkanindiges" "hydrocarbon_degradation"
"11" "Bdellovibrio" "predatory_or_exoparasitic"
