"Genus" "Function"
"1" "Corynebacterium" "nitrate_reduction"
"2" "Corynebacterium" "ureolysis"
"3" "Corynebacterium" "chemoheterotrophy"
"4" "Corynebacterium" "fermentation"
"5" "Corynebacterium" "animal_parasites_or_symbionts"
"6" "Corynebacterium" "human_associated"
"7" "Corynebacterium" "human_pathogens_all"
"8" "Arthrobacter" "ureolysis"
"9" "Staphylococcus" "animal_parasites_or_symbionts"
"10" "Staphylococcus" "human_associated"
"11" "Staphylococcus" "human_pathogens_all"
"12" "Staphylococcus" "nitrate_reduction"
"13" "Staphylococcus" "ureolysis"
"14" "Sphingomonas" "aerobic_chemoheterotrophy"
"15" "Sphingomonas" "chemoheterotrophy"
