"Genus" "Function"
"1" "Enhydrobacter" "aerobic_chemoheterotrophy"
"2" "Enhydrobacter" "animal_parasites_or_symbionts"
"3" "Enhydrobacter" "chemoheterotrophy"
"4" "Enhydrobacter" "fermentation"
"5" "Enhydrobacter" "human_associated"
"6" "Enhydrobacter" "human_gut"
"7" "Enhydrobacter" "mammal_gut"
"8" "Enhydrobacter" "nitrate_reduction"
"9" "Arthrobacter" "ureolysis"
"10" "Helcobacillus" "aerobic_chemoheterotrophy"
"11" "Helcobacillus" "chemoheterotrophy"
"12" "Ornithinimicrobium" "aerobic_chemoheterotrophy"
"13" "Ornithinimicrobium" "chemoheterotrophy"
"14" "Ornithinimicrobium" "nitrate_reduction"
"15" "Dietzia" "aerobic_chemoheterotrophy"
"16" "Dietzia" "chemoheterotrophy"
"17" "Nocardioides" "aerobic_chemoheterotrophy"
"18" "Nocardioides" "aromatic_compound_degradation"
"19" "Nocardioides" "chemoheterotrophy"
"20" "Nocardioides" "nitrate_reduction"
