"Genus" "Function"
"1" "Corynebacterium" "nitrate_reduction"
"2" "Corynebacterium" "ureolysis"
"3" "Corynebacterium" "chemoheterotrophy"
"4" "Corynebacterium" "fermentation"
"5" "Corynebacterium" "animal_parasites_or_symbionts"
"6" "Corynebacterium" "human_associated"
"7" "Corynebacterium" "human_pathogens_all"
"8" "Sporobacter" "aromatic_compound_degradation"
"9" "Sporobacter" "chemoheterotrophy"
"10" "Sporobacter" "fermentation"
"11" "Wautersiella" "aerobic_chemoheterotrophy"
"12" "Wautersiella" "chemoheterotrophy"
