"Genus" "Function"
"1" "Petrimonas" "chemoheterotrophy"
"2" "Petrimonas" "fermentation"
"3" "Petrimonas" "nitrate_ammonification"
"4" "Petrimonas" "nitrate_reduction"
"5" "Petrimonas" "nitrate_respiration"
"6" "Petrimonas" "nitrite_ammonification"
"7" "Petrimonas" "nitrite_respiration"
"8" "Petrimonas" "nitrogen_respiration"
"9" "Campylobacter" "animal_parasites_or_symbionts"
"10" "Campylobacter" "human_associated"
"11" "Campylobacter" "human_pathogens_all"
"12" "Campylobacter" "human_pathogens_meningitis"
"13" "Campylobacter" "human_pathogens_septicemia"
"14" "Campylobacter" "fumarate_respiration"
"15" "Campylobacter" "nitrate_reduction"
"16" "Campylobacter" "nitrate_respiration"
"17" "Campylobacter" "nitrogen_respiration"
