"Genus" "Function"
"1" "Streptococcus" "chemoheterotrophy"
"2" "Streptococcus" "fermentation"
"3" "Streptococcus" "animal_parasites_or_symbionts"
"4" "Streptococcus" "human_associated"
"5" "Streptococcus" "human_pathogens_all"
"6" "Streptococcus" "human_pathogens_meningitis"
"7" "Streptococcus" "human_pathogens_septicemia"
"8" "Kocuria" "aerobic_chemoheterotrophy"
"9" "Kocuria" "chemoheterotrophy"
"10" "Elizabethkingia" "aerobic_chemoheterotrophy"
"11" "Elizabethkingia" "chemoheterotrophy"
"12" "Enhydrobacter" "aerobic_chemoheterotrophy"
"13" "Enhydrobacter" "animal_parasites_or_symbionts"
"14" "Enhydrobacter" "chemoheterotrophy"
"15" "Enhydrobacter" "fermentation"
"16" "Enhydrobacter" "human_associated"
"17" "Enhydrobacter" "human_gut"
"18" "Enhydrobacter" "mammal_gut"
"19" "Enhydrobacter" "nitrate_reduction"
"20" "Acinetobacter" "aerobic_chemoheterotrophy"
"21" "Acinetobacter" "aromatic_compound_degradation"
"22" "Acinetobacter" "chemoheterotrophy"
