"Genus" "Function"
"1" "Flavobacterium" "aerobic_chemoheterotrophy"
"2" "Flavobacterium" "chemoheterotrophy"
"3" "Flavobacterium" "xylanolysis"
"4" "Lysobacter" "chemoheterotrophy"
"5" "Lysobacter" "chitinolysis"
"6" "Petrimonas" "chemoheterotrophy"
"7" "Petrimonas" "fermentation"
"8" "Petrimonas" "nitrate_ammonification"
"9" "Petrimonas" "nitrate_reduction"
"10" "Petrimonas" "nitrate_respiration"
"11" "Petrimonas" "nitrite_ammonification"
"12" "Petrimonas" "nitrite_respiration"
"13" "Petrimonas" "nitrogen_respiration"
