"Genus" "Function"
"1" "Succinispira" "chemoheterotrophy"
"2" "Succinispira" "fermentation"
"3" "Roseburia" "animal_parasites_or_symbionts"
"4" "Roseburia" "chemoheterotrophy"
"5" "Roseburia" "fermentation"
"6" "Roseburia" "human_associated"
"7" "Roseburia" "human_gut"
"8" "Roseburia" "mammal_gut"
"9" "Alistipes" "chemoheterotrophy"
"10" "Alistipes" "fermentation"
"11" "Sporobacter" "aromatic_compound_degradation"
"12" "Sporobacter" "chemoheterotrophy"
"13" "Sporobacter" "fermentation"
"14" "Akkermansia" "aerobic_chemoheterotrophy"
"15" "Akkermansia" "chemoheterotrophy"
"16" "Akkermansia" "animal_parasites_or_symbionts"
"17" "Akkermansia" "human_associated"
"18" "Akkermansia" "human_gut"
"19" "Akkermansia" "mammal_gut"
