"Genus" "Function"
"1" "Staphylococcus" "animal_parasites_or_symbionts"
"2" "Staphylococcus" "human_associated"
"3" "Staphylococcus" "human_pathogens_all"
"4" "Staphylococcus" "nitrate_reduction"
"5" "Staphylococcus" "ureolysis"
"6" "Bifidobacterium" "animal_parasites_or_symbionts"
"7" "Bifidobacterium" "chemoheterotrophy"
"8" "Bifidobacterium" "fermentation"
"9" "Bifidobacterium" "human_associated"
"10" "Bifidobacterium" "human_gut"
"11" "Bifidobacterium" "mammal_gut"
"12" "Lactobacillus" "chemoheterotrophy"
"13" "Lactobacillus" "fermentation"
"14" "Lactobacillus" "animal_parasites_or_symbionts"
"15" "Lactobacillus" "human_associated"
"16" "Lactobacillus" "human_gut"
"17" "Lactobacillus" "mammal_gut"
