"Genus" "Function"
"1" "Bifidobacterium" "animal_parasites_or_symbionts"
"2" "Bifidobacterium" "chemoheterotrophy"
"3" "Bifidobacterium" "fermentation"
"4" "Bifidobacterium" "human_associated"
"5" "Bifidobacterium" "human_gut"
"6" "Bifidobacterium" "mammal_gut"
"7" "Enhydrobacter" "aerobic_chemoheterotrophy"
"8" "Enhydrobacter" "animal_parasites_or_symbionts"
"9" "Enhydrobacter" "chemoheterotrophy"
"10" "Enhydrobacter" "fermentation"
"11" "Enhydrobacter" "human_associated"
"12" "Enhydrobacter" "human_gut"
"13" "Enhydrobacter" "mammal_gut"
"14" "Enhydrobacter" "nitrate_reduction"
"15" "Acinetobacter" "aerobic_chemoheterotrophy"
"16" "Acinetobacter" "aromatic_compound_degradation"
"17" "Acinetobacter" "chemoheterotrophy"
