"Genus" "Function"
"1" "Rothia" "chemoheterotrophy"
"2" "Rothia" "fermentation"
"3" "Rothia" "nitrate_reduction"
"4" "Micrococcus" "aerobic_chemoheterotrophy"
"5" "Micrococcus" "chemoheterotrophy"
"6" "Helcobacillus" "aerobic_chemoheterotrophy"
"7" "Helcobacillus" "chemoheterotrophy"
"8" "Ornithinimicrobium" "aerobic_chemoheterotrophy"
"9" "Ornithinimicrobium" "chemoheterotrophy"
"10" "Ornithinimicrobium" "nitrate_reduction"
"11" "Dietzia" "aerobic_chemoheterotrophy"
"12" "Dietzia" "chemoheterotrophy"
"13" "Nocardioides" "aerobic_chemoheterotrophy"
"14" "Nocardioides" "aromatic_compound_degradation"
"15" "Nocardioides" "chemoheterotrophy"
"16" "Nocardioides" "nitrate_reduction"
"17" "Deinococcus" "nitrate_reduction"
