"Genus" "Function"
"1" "Corynebacterium" "nitrate_reduction"
"2" "Corynebacterium" "ureolysis"
"3" "Corynebacterium" "chemoheterotrophy"
"4" "Corynebacterium" "fermentation"
"5" "Corynebacterium" "animal_parasites_or_symbionts"
"6" "Corynebacterium" "human_associated"
"7" "Corynebacterium" "human_pathogens_all"
"8" "Kribbia" "nitrate_reduction"
"9" "Petrimonas" "chemoheterotrophy"
"10" "Petrimonas" "fermentation"
"11" "Petrimonas" "nitrate_ammonification"
"12" "Petrimonas" "nitrate_reduction"
"13" "Petrimonas" "nitrate_respiration"
"14" "Petrimonas" "nitrite_ammonification"
"15" "Petrimonas" "nitrite_respiration"
"16" "Petrimonas" "nitrogen_respiration"
