"Genus" "Function"
"1" "Succinispira" "chemoheterotrophy"
"2" "Succinispira" "fermentation"
"3" "Alistipes" "chemoheterotrophy"
"4" "Alistipes" "fermentation"
"5" "Roseburia" "animal_parasites_or_symbionts"
"6" "Roseburia" "chemoheterotrophy"
"7" "Roseburia" "fermentation"
"8" "Roseburia" "human_associated"
"9" "Roseburia" "human_gut"
"10" "Roseburia" "mammal_gut"
"11" "Lysobacter" "chemoheterotrophy"
"12" "Lysobacter" "chitinolysis"
"13" "Papillibacter" "aromatic_compound_degradation"
"14" "Papillibacter" "chemoheterotrophy"
"15" "Akkermansia" "aerobic_chemoheterotrophy"
"16" "Akkermansia" "chemoheterotrophy"
"17" "Akkermansia" "animal_parasites_or_symbionts"
"18" "Akkermansia" "human_associated"
"19" "Akkermansia" "human_gut"
"20" "Akkermansia" "mammal_gut"
