"Genus" "Function"
"1" "Kocuria" "aerobic_chemoheterotrophy"
"2" "Kocuria" "chemoheterotrophy"
"3" "Enhydrobacter" "aerobic_chemoheterotrophy"
"4" "Enhydrobacter" "animal_parasites_or_symbionts"
"5" "Enhydrobacter" "chemoheterotrophy"
"6" "Enhydrobacter" "fermentation"
"7" "Enhydrobacter" "human_associated"
"8" "Enhydrobacter" "human_gut"
"9" "Enhydrobacter" "mammal_gut"
"10" "Enhydrobacter" "nitrate_reduction"
"11" "Acinetobacter" "aerobic_chemoheterotrophy"
"12" "Acinetobacter" "aromatic_compound_degradation"
"13" "Acinetobacter" "chemoheterotrophy"
