"Genus" "Function"
"1" "Bifidobacterium" "animal_parasites_or_symbionts"
"2" "Bifidobacterium" "chemoheterotrophy"
"3" "Bifidobacterium" "fermentation"
"4" "Bifidobacterium" "human_associated"
"5" "Bifidobacterium" "human_gut"
"6" "Bifidobacterium" "mammal_gut"
"7" "Desulfovibrio" "respiration_of_sulfur_compounds"
"8" "Desulfovibrio" "sulfate_respiration"
"9" "Desulfovibrio" "nitrate_reduction"
"10" "Desulfovibrio" "nitrogen_respiration"
"11" "Desulfovibrio" "nitrate_respiration"
"12" "Desulfovibrio" "thiosulfate_respiration"
"13" "Desulfovibrio" "sulfur_respiration"
"14" "Desulfovibrio" "fermentation"
"15" "Desulfovibrio" "dark_sulfite_oxidation"
"16" "Desulfovibrio" "dark_hydrogen_oxidation"
"17" "Desulfovibrio" "chemoheterotrophy"
