"Genus" "Function"
"Lactobacillus" "human_associated"
"Lactobacillus" "human_gut"
"Lactobacillus" "mammal_gut"
"Arcobacter" "animal_parasites_or_symbionts"
"Arcobacter" "human_associated"
"Arcobacter" "human_pathogens_all"
"Campylobacter" "animal_parasites_or_symbionts"
"Petrimonas" "chemoheterotrophy"
"Petrimonas" "fermentation"
"Petrimonas" "nitrate_ammonification"
"Petrimonas" "nitrate_reduction"
"Petrimonas" "nitrate_respiration"
"Petrimonas" "nitrite_ammonification"
"Petrimonas" "nitrite_respiration"
"Petrimonas" "nitrogen_respiration"
"Flavobacterium" "aerobic_chemoheterotrophy"
"Flavobacterium" "chemoheterotrophy"
"Kribbia" "nitrate_reduction"
"Anaerobiospirillum" "chemoheterotrophy"
"Anaerobiospirillum" "fermentation"
"Campylobacter" "human_associated"
"Campylobacter" "human_pathogens_all"
"Campylobacter" "human_pathogens_meningitis"
"Campylobacter" "human_pathogens_septicemia"
"Flavobacterium" "xylanolysis"
"Campylobacter" "fumarate_respiration"
"Campylobacter" "nitrate_reduction"
"Campylobacter" "nitrate_respiration"
"Campylobacter" "nitrogen_respiration"
"Succinivibrio" "fermentation"
"Succinivibrio" "chemoheterotrophy"
"Aeriscardovia" "chemoheterotrophy"
"Aeriscardovia" "fermentation"
"Lactococcus" "chemoheterotrophy"
"Lactococcus" "fermentation"
"Pedobacter" "aerobic_chemoheterotrophy"
"Pedobacter" "chemoheterotrophy"
"Alkanindiges" "chemoheterotrophy"
"Alkanindiges" "aliphatic_non_methane_hydrocarbon_degradation"
"Alkanindiges" "hydrocarbon_degradation"
"Bdellovibrio" "predatory_or_exoparasitic"
"Aurantimonas" "aerobic_chemoheterotrophy"
"Aurantimonas" "ureolysis"
"Aurantimonas" "chemoheterotrophy"
"Nonlabens" "aerobic_chemoheterotrophy"
"Nonlabens" "chemoheterotrophy"
"Methylotenera" "methanol_oxidation"
"Methylotenera" "chemoheterotrophy"
"Methylotenera" "methylotrophy"
"Pelomonas" "dark_hydrogen_oxidation"
"Dorea" "human_associated"
"Dorea" "chemoheterotrophy"
"Dorea" "fermentation"
"Dorea" "animal_parasites_or_symbionts"
"Dorea" "human_gut"
"Dorea" "mammal_gut"
"Selenomonas" "chemoheterotrophy"
"Selenomonas" "fermentation"
"Faecalibacterium" "fermentation"
"Faecalibacterium" "chemoheterotrophy"
"Sharpea" "fermentation"
"Sharpea" "chemoheterotrophy"
"Gluconacetobacter" "chemoheterotrophy"
"Gluconacetobacter" "aerobic_chemoheterotrophy"
"Desulfovibrio" "respiration_of_sulfur_compounds"
"Desulfovibrio" "sulfate_respiration"
"Desulfovibrio" "nitrate_reduction"
"Desulfovibrio" "nitrogen_respiration"
"Desulfovibrio" "nitrate_respiration"
"Desulfovibrio" "thiosulfate_respiration"
"Desulfovibrio" "sulfur_respiration"
"Desulfovibrio" "fermentation"
"Desulfovibrio" "dark_sulfite_oxidation"
"Desulfovibrio" "dark_hydrogen_oxidation"
"Desulfovibrio" "chemoheterotrophy"
"Kerstersia" "animal_parasites_or_symbionts"
"Kerstersia" "human_associated"
"Kerstersia" "human_pathogens_all"
"Dysgonomonas" "chemoheterotrophy"
"Dysgonomonas" "fermentation"
"Cedecea" "nitrate_reduction"
"Cedecea" "chemoheterotrophy"
"Cedecea" "fermentation"
"Coprococcus" "chemoheterotrophy"
"Coprococcus" "animal_parasites_or_symbionts"
"Coprococcus" "fermentation"
"Coprococcus" "human_associated"
"Coprococcus" "mammal_gut"
"Coprococcus" "human_gut"
"Alkalibacterium" "chemoheterotrophy"
"Alkalibacterium" "fermentation"
"Leifsonia" "chemoheterotrophy"
"Leifsonia" "aerobic_chemoheterotrophy"
"Caulobacter" "aerobic_chemoheterotrophy"
"Caulobacter" "chemoheterotrophy"
"Moraxella" "human_pathogens_all"
"Moraxella" "human_associated"
"Moraxella" "animal_parasites_or_symbionts"
"Massilia" "ureolysis"
"Peptostreptococcus" "chemoheterotrophy"
"Peptostreptococcus" "fermentation"
