"Genus" "Function"
"1" "Staphylococcus" "animal_parasites_or_symbionts"
"2" "Staphylococcus" "human_associated"
"3" "Staphylococcus" "human_pathogens_all"
"4" "Staphylococcus" "nitrate_reduction"
"5" "Staphylococcus" "ureolysis"
"6" "Ornithinimicrobium" "aerobic_chemoheterotrophy"
"7" "Ornithinimicrobium" "chemoheterotrophy"
"8" "Ornithinimicrobium" "nitrate_reduction"
"9" "Dietzia" "aerobic_chemoheterotrophy"
"10" "Dietzia" "chemoheterotrophy"
"11" "Nocardioides" "aerobic_chemoheterotrophy"
"12" "Nocardioides" "aromatic_compound_degradation"
"13" "Nocardioides" "chemoheterotrophy"
"14" "Nocardioides" "nitrate_reduction"
