"index","lable","cluster","hubs","degree","ev","between","close"
1,"Streptococcus",4,0,0.0404040404040404,0.161803857043642,0,0.693282022661436
2,"Staphylococcus",1,0,0.0707070707070707,0.125567991751798,0,0.691354067120929
3,"Elizabethkingia",4,0,0.0909090909090909,0.482272861664007,0.000617283950617284,0.856636039349839
4,"Atopococcus",1,0,0.262626262626263,0.767423888967525,0.125,1.06270397837415
5,"Enhydrobacter",4,0,0.232323232323232,0.789002392079082,0.0330246913580247,0.978009933210324
6,"Kocuria",4,0,0.202020202020202,0.623812963612879,0.037962962962963,0.939530237655513
7,"Corynebacterium",3,0,0.0909090909090909,0.233388465362121,0.00154320987654321,0.787477202959584
8,"Arthrobacter",5,0,0.0606060606060606,0.271204001420729,0,0.70496881846104
9,"Acinetobacter",4,0,0.181818181818182,0.557927781510321,0.00833333333333333,0.912428172482256
10,"Millisia",3,0,0.0909090909090909,0.346725083949079,0.0141975308641975,0.866118484391537
11,"Micrococcus",1,0,0.171717171717172,0.386559283733403,0.0324074074074074,0.848510904909472
12,"Bifidobacterium",1,0,0.0101010101010101,0.00296270485340714,0,0.428545487477369
13,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",3,0,0.0808080808080808,0.246707938466421,0.000308641975308642,0.793609166781926
14,"Rothia",4,0,0.0808080808080808,0.216207414266081,0,0.769121502923598
15,"Helcobacillus",1,0,0.0101010101010101,0.055273949175188,0,0.644107887671066
16,"Alkanindiges",4,1,0.232323232323232,0.893559233597252,0.0345679012345679,0.978270558687712
17,"Granulicatella",1,0,0.242424242424242,0.672215102230258,0.0530864197530864,1.02439830118742
18,"Succinispira",1,0,0.191919191919192,0.436219566564928,0.0324074074074074,0.917049409159143
19,"Lacticigenium",6,0,0.0101010101010101,0.00133791071153047,0,0.425188302708354
20,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",6,0,0.0101010101010101,0.0015531713780877,0,0.441427626884124
21,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",1,0,0.181818181818182,0.453852058267158,0.0277777777777778,0.919193409777496
22,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.141414141414141,0.239054750073598,0,0.709496286384147
23,"Helicobacter",5,0,0.242424242424242,0.722419022302733,0.0530864197530864,0.97343424877306
24,"Lactococcus",4,0,0.121212121212121,0.621700961208844,0.00216049382716049,0.849039029433358
25,"Nonlabens",4,0,0.131313131313131,0.634118376491088,0.00123456790123457,0.850613094982657
26,"Deinococcus",5,0,0.0101010101010101,0.0208934487794723,0,0.518800346982972
27,"Rhizobium",4,0,0.161616161616162,0.632797639406075,0.0169753086419753,0.927913242051076
28,"Trueperella",3,0,0.222222222222222,0.638299767195351,0.0308641975308642,1.01412898600047
29,"Roseburia",1,0,0.161616161616162,0.478702213016949,0.0222222222222222,0.938506674320162
30,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",3,0,0.0909090909090909,0.303639456509547,0.00740740740740741,0.842437319768368
31,"Alistipes",1,0,0.0707070707070707,0.136744582009304,0.0308641975308642,0.733924124566072
32,"[Clostridium]",1,0,0.131313131313131,0.458042630238057,0.00802469135802469,0.90749403307783
33,"Rheinheimera",5,0,0.111111111111111,0.505024580458258,0.00493827160493827,0.842648871730371
34,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",4,0,0.252525252525253,0.706353533897777,0.0361111111111111,0.978240991220899
35,"Atopostipes",1,0,0.181818181818182,0.427757557942903,0.0188271604938272,0.895082436392409
36,"Ornithinimicrobium",1,0,0.0303030303030303,0.054640895202398,0.0246913580246914,0.627512744360405
37,"Novosphingobium",6,0,0.0303030303030303,0.0186190606142002,0.0490740740740741,0.564366113642539
38,"Bdellovibrio",4,0,0.171717171717172,0.7608741654564,0.0311728395061728,0.918148582423288
39,"Sphingobium",5,0,0.101010101010101,0.404978475657875,0.00246913580246914,0.789489059046225
40,"Bergeyella",5,0,0.111111111111111,0.39197528265356,0.000925925925925926,0.797725016865309
41,"Aeromonas",5,0,0.212121212121212,0.729392795154616,0.0324074074074074,0.954161534442707
42,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",1,0,0.131313131313131,0.367815285111911,0.0302469135802469,0.880373990235911
43,"Weissella",3,0,0.0202020202020202,0.0671484068013565,0,0.664547815724071
44,"Pedobacter",4,1,0.222222222222222,0.891967193871905,0.067283950617284,0.990106141758314
45,"Brevundimonas",4,1,0.333333333333333,1,0.0799382716049383,1.06140940447865
46,"Anaerococcus",3,0,0.0404040404040404,0.101730797378332,0.000925925925925926,0.675583709449437
47,"ph2",3,0,0.292929292929293,0.745361202081422,0.128703703703704,1.06543718539051
48,"GW-34",3,1,0.313131313131313,0.824449895456966,0.0805555555555556,1.09111502983039
49,"Treponema",1,0,0.111111111111111,0.323280099823563,0.00679012345679012,0.851989550784614
50,"Anaerobiospirillum",1,0,0.212121212121212,0.582222849982112,0.0256172839506173,0.959492239801852
51,"Prevotella",1,0,0.222222222222222,0.669765546031502,0.0216049382716049,0.989044665392612
52,"CF231",1,0,0.171717171717172,0.391103744037014,0.0348765432098765,0.877928467742005
53,"Pseudoxanthomonas",4,0,0.181818181818182,0.707160686063326,0.00771604938271605,0.910040914487056
54,"Dietzia",1,0,0.0101010101010101,0.00405666009203522,0,0.462560206002832
