"index","lable","cluster","degree"
13,"Lactococcus",4,0.363636363636364
30,"Nonlabens",4,0.353535353535354
34,"Pedobacter",4,0.404040404040404
39,"Snodgrassella",4,0.373737373737374
40,"Pseudoxanthomonas",4,0.383838383838384
