"","x"
"1","Macrococcus"
"2","Atopococcus"
"3","Corynebacterium"
"4","Micrococcus"
"5","Millisia"
"6","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"7","Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium"
"8","Succinispira"
"9","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus"
"10","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"11","Granulicatella"
"12","[Clostridium]"
"13","Trueperella"
"14","Alistipes"
"15","Atopostipes"
"16","Roseburia"
"17","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"18","GW-34"
"19","ph2"
"20","Lactonifactor"
"21","Kribbia"
"22","Lysobacter"
"23","Helcococcus"
"24","Serinibacter"
"25","Papillibacter"
"26","Sporobacter"
"27","Anaerobiospirillum"
"28","Akkermansia"
"29","Aeriscardovia"
"30","Wautersiella"
"31","Kurthia"
