"","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"77129a74183db1da1d6bf3c1972e0efa",4,146,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"d8a1f46bbc1a24d51cc711962b026673",2,27,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"d73c658fc6369cca82dec31f57766e6d",1,14,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","caseinilytica"
"7a36d962b8f0ad8e54501815e9aeeaac",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Lishizhenia","caseinilytica"
"458c126167c9f017a1624e68373a791d",4,87,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae",NA,NA
"2174227082d1817d1ebc6d0c70dfdd04",1,3,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"448cb2be334a37c24002a2fefd359749",1,23,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"8665ce5464d84dd2a424dba7d5683e41",1,10,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"2bde77b5f073ec8cb3e0cc283ef390e3",3,49,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"087cc4ca0f9b10711402bb09ff2f57bf",2,114,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"7800dd339ef5be1034d2de74a8a293fe",1,2,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"b603f52329849b11ec53c098678e4d40",1,6,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"70978473ac8e24d4c660f98ba711e47f",4,61,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"fd5c41923c674cbbc8308af450effd03",1,31,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"f9967d4b20d5e5fff7d841f5875615a0",1,25,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"0d85fecd8dc56009d24a1653a49cb333",1,12,"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA
"5ee4f30bf04931ecd191b42bc4671f4c",1,9,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"7d9c2ea7c510c4e4de9ef7e170d2c740",1,25,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens",NA
"07cc2da9b178e649d50cd50cb6836e45",1,4,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"3957a03726cd8d9283f2f7d9a7675acf",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"43dc323498e69e5f6a487bfb76eb9540",1,54,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"14365e5db6999a4830e66213cb627074",2,11,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2819c34f76dce4eed3d8b233545938d6",7,3679,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens",NA
"2af475aa56b8768bc39bb95e878732af",2,38,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens",NA
"7c741dcf627f6d0e128fd32c9a5ffa90",1,34,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens",NA
"fe219bea2e049fe845910a2c29dc3930",1,15,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2d49e779601a1ac2d9e36f53a2faad4a",3,248,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"10b55e942d4714b54cc7197c54b89f49",1,5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"57c7d519c3f08ab6a907fd24fcf51651",2,16,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"24bbc9710c1c055a8b6efd9d7a1e3967",1,12,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"dfe1aa923fa46a482c83b9cacf50a862",3,675,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"b9776cb223657a17259fe6f7265c9451",1,5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"07f4bdb1bba9b16977827ab176ac2851",1,5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"7250c4fde8b3037ffcb0f1d369606ac5",1,8,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"6db0769422f7617e0384ea9c98ac2fa9",2,51,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"275dddc26f7c031a0ae5b524d793d536",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e4889f79e1586979c3ce5997774b4a15",6,1794,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"85e30c0fb5fa6a44791bedc5f58007c8",1,8,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"0b5b269bb6dbb1fd9a18937ecbfaf8e1",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e20f68b28b98fd9920ba60809f5d028e",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"97afb25907951f6957cf84709740bb81",1,11,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","frigidarium"
"4eaaeaa12e3a92d59127fbf3499b88e6",1,19,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"b03a7a9f0e231713db89d95b736d4ebc",3,182,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"39b8c14ae2e93922ea1ed97d131d363c",1,58,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"c24f83bf3c9f2c80a40256176e8580b1",1,14,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Persicivirga",NA
"7d01c519239384a3cc61adf07d7e57ce",1,16,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"459e5598adb09ca5bc263676eccb796e",1,2,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2f92a6a6e275e1e701395ec871f575fc",2,14,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"983002720b6922ead536929ca6f48ff3",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA
"65bf421cdb502c72720220f486d65251",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"be8279dad0c696a16a8fc34df2d24607",1,16,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutaonella","thermophilus"
"b5bda94060999799b2944a8f6aa3fc03",1,3,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"498aa72c678b74ca8394980bacff179d",1,14,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"344a24a67318e65e2cefd9cd0c7b320a",1,37,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"46da69817dfb9a5b8f56205a1fc00403",1,10,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"8fd1ad0de070ae07e52f6975910e8fc7",1,11,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e19948fef5308f04c38fea8f51267da0",10,278,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"85ec12f76ce53f1ecaa94ad4c91fd97f",2,56,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ec0a7f19b2ced4cb49353b7ec6766ebb",1,5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"e7500cd50a3a8de2897d3fd51f2c2996",3,23,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"8d3924daa39907b5b333a99788f6d7c6",1,4,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"a737947890a5fe9f68dee5c8d1ce39a7",1,4,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"48db9cc51fbd3a5bf569c3522b46806d",2,16,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"b74e80bc5477e77ee9bb0624195398ff",14,808,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"a225e969d74c28b8a5bda84bf6a313a9",10,360,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"cf4148dae381427a58008be914c26a17",1,61,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"bdcf9c413b75f5db60dc80d73418dcdc",1,6,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"d252da2d3a26165ea75e7e9a84ce0d7c",1,32,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"2e8c51f5c2a7b94e8b52bdf6aea9bafa",1,32,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"d2cf517d836f6b94cbab7166f7730739",2,36,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"9512376a1e13585a24d21ccc6d00ec7c",5,148,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"d87654a588b188a5d837cc13b3965538",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Persicivirga",NA
"0656a81443cbc20ac73c71a3b47ca963",5,163,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Persicivirga",NA
"1e2e0a036fd561c3fc1442b5bcbdd0d5",1,9,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Persicivirga",NA
"6a2e789036c8b393c40e76ca7c0eef0d",2,32,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"999690318f22c4715f51cc4d029fb328",3,8,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"3fdffd10611f34ecb280adb93f0866b7",1,4,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"5d4ccea387a0453542d56dd7b59dd74f",2,18,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"ee01e072494e3aa3e3e8ef6104d0dcb0",1,16,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA
"8cead014b5669527b1708a490c40c6e3",1,22,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"23c3d5fb113fb1991284917d2879033a",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Persicivirga",NA
"d5c96bbb11fb64d3b4a8952e4603c327",1,13,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","gelidilacus"
"81b5623290221784552dc99ac264e9d1",3,97,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Ornithobacterium",NA
"2429467d2823c27d599f36a62271e453",1,32,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Ornithobacterium",NA
"b377d3b429e074bf977b00dd808ad89d",1,32,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA
"15ec3ab303d1ff18ac19eb05e0dd76c7",3,49,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Elizabethkingia",NA
"ebb96bf4ee73841557cecf17668b2de1",1,22,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Elizabethkingia",NA
"4d60f8ca812338473ccf666a2a6e83a8",1,5,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Bergeyella","zoohelcum"
"fdef8295938564bfb7990fa9df2507a6",1,5,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA
"7ccb7e927e917e573000a3e661ba1556",3,78,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Elizabethkingia",NA
"aecc413ad53a485a952571d304765b33",1,35,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","[Weeksellaceae]","Elizabethkingia",NA
