"from","to","weight","association"
3,9,0.299681934284124,1
4,9,0.325872062882205,1
5,9,0.319386546478366,1
2,10,0.295015685902203,1
5,10,0.366397474411245,1
1,12,0.325152229209487,1
6,12,0.433055410909839,1
11,12,0.293840094943258,1
3,14,0.384154438559398,1
9,14,0.316878964255375,1
10,16,0.333262557428069,1
17,24,0.364757705795013,1
9,25,0.298996575923019,1
20,25,0.35446697084805,1
22,26,0.487336934156033,1
11,28,0.309616888741401,1
17,28,0.366070887446432,1
6,29,0.349770357884582,1
17,30,0.45141324864607,1
30,32,0.307630114189149,1
2,34,0.299240524180724,1
26,35,0.288974240692958,-1
35,36,0.276883945703006,-1
23,37,0.304285277249712,1
18,39,0.335125952940853,1
31,40,0.342841468886815,1
2,41,0.283482495847066,-1
24,42,0.296110674717745,1
29,42,0.333607848176422,1
30,42,0.30606693044003,1
1,43,0.302663704960059,1
23,43,0.309668764214631,1
37,43,0.360130778557775,1
18,44,0.296210595226645,1
40,44,0.285525144411279,-1
42,44,0.300129739836995,1
5,45,0.297952809112356,1
9,45,0.377672713333979,1
23,45,0.316717604693304,1
25,45,0.32386445494854,1
24,46,0.296468788676047,1
11,48,0.334149501550764,1
16,48,0.333275754568878,1
34,48,0.323854014290037,1
29,49,0.342320420374421,1
13,50,0.296237876314673,1
19,50,0.289455046244863,-1
14,51,0.378522150916378,1
36,51,0.328061400298966,1
11,53,0.296961164145725,1
29,53,0.33331876175611,1
31,53,0.292424142194953,-1
6,54,0.303433165059524,1
13,54,0.342433341442813,1
52,54,0.491072109606395,1
5,55,0.331177878718859,1
8,55,0.339527675618229,1
10,55,0.29669730829664,1
16,55,0.302598963494747,1
38,55,0.394145129383652,1
29,56,0.345991840231244,1
14,57,0.296060016461075,1
36,57,0.295711412112863,1
28,58,0.307044070380812,1
31,59,0.291763821867895,-1
33,59,0.288335163770247,-1
37,59,0.294091149162132,1
52,60,0.311115657943488,1
23,61,0.385759078187082,1
37,61,0.295015089330681,1
43,61,0.307688143510348,1
55,61,0.296585782009741,1
57,61,0.324495548120499,1
3,62,0.296153398551964,1
9,62,0.295542878191576,1
23,62,0.308658404510395,1
2,63,0.290731916876427,-1
20,63,0.24994975972768,-1
24,63,0.295317746751099,1
32,63,0.33374208444433,1
62,63,0.28176511943638,-1
18,64,0.310115187901516,1
40,64,0.287814627192679,-1
44,64,0.319970938445149,1
46,64,0.348087286776079,1
49,64,0.325572661481553,1
47,65,0.505803553933943,1
29,66,0.293324852776984,1
39,66,0.295437367802179,1
44,66,0.323843684285797,1
56,66,0.359939912935522,1
38,67,0.299048911310183,1
7,68,0.29495299944033,1
34,68,0.362695936934366,1
52,69,0.334649333902922,1
54,69,0.31514135076078,1
37,70,0.315953833210344,1
66,70,0.316999434163346,1
41,71,0.296571772772597,1
46,71,0.298556850795802,1
50,71,0.408277136905663,1
63,71,0.385995207806083,1
35,72,0.401097726689414,1
52,72,0.323662043578402,1
60,72,0.351078478605231,1
18,73,0.481305728223558,1
32,73,0.30010970964283,1
66,73,0.326585096297443,1
18,74,0.296953591697726,1
44,74,0.31710996641675,1
58,74,0.387666438558561,1
64,74,0.337574338573385,1
8,75,0.337234324651837,1
20,75,0.336249842483247,1
36,75,0.310121280396872,1
41,75,0.292116057327782,-1
57,75,0.371537643089141,1
20,76,0.301642475463219,1
51,76,0.356895450625748,1
58,76,0.274849896385503,-1
63,77,0.295990671657783,1
69,77,0.311963944825011,1
50,78,0.307570080875724,1
71,78,0.402798935464137,1
18,79,0.298698079774904,1
74,79,0.354962186270317,1
2,80,0.306754163487673,1
15,80,0.228596908833414,-1
21,80,0.266801995183208,-1
39,80,0.304546560264545,1
23,81,0.395450828795458,1
37,81,0.300192226286551,1
43,81,0.317013176195087,1
55,81,0.315195575289574,1
61,81,0.390264891682482,1
9,82,0.293013780451702,1
37,82,0.311233076283508,1
70,82,0.300908893691382,1
5,83,0.308465969801018,1
8,83,0.299141789146583,1
19,83,0.344579297386816,1
27,83,0.295960105694845,1
68,83,0.330695463734629,1
75,83,0.357842120349919,1
18,85,0.356483574560725,1
68,85,0.297381501044923,1
7,86,0.311820800737447,1
21,86,0.20584392396968,-1
37,86,0.28743773774708,-1
12,87,0.305017019119462,1
35,87,0.33064585035758,1
24,88,0.296648066635366,1
84,88,0.337749878407847,1
41,89,0.34316051976848,1
7,90,0.367352441975603,1
69,90,0.293188144665366,1
86,90,0.304267904874703,1
35,91,0.319517296482603,1
42,91,0.305135473821687,1
54,91,0.304413869599947,1
87,91,0.303927807624698,1
89,91,0.431356416762102,1
7,92,0.301489073856216,1
52,92,0.310152396142536,1
54,92,0.312536505407066,1
56,92,0.357365080728313,1
13,93,0.310347943986141,1
17,93,0.293104037334462,1
41,93,0.315732319367884,1
77,93,0.465500608855283,1
19,94,0.277662736965328,-1
78,94,0.310033153148676,1
11,95,0.268144313668734,-1
31,95,0.303903026207913,1
40,95,0.458756331402916,1
14,96,0.305984061674138,1
17,96,0.292331387942622,-1
33,96,0.373768204281785,1
76,96,0.296154913744233,1
95,96,0.318771954398281,1
47,97,0.329332874574596,1
65,97,0.328979908560405,1
42,98,0.371956397137742,1
53,98,0.297699059942885,1
74,98,0.29303182332297,1
