"","x"
"1","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium"
"2","Flavobacterium"
"3","Sporobacter"
"4","ph2"
"5","Anaerosinus"
"6","Kribbia"
"7","Lactobacillus"
"8","GW-34"
"9","Arcobacter"
"10","Campylobacter"
"11","Advenella"
"12","Anaerobiospirillum"
"13","Helcococcus"
