"","x"
"1","Macrococcus"
"2","Enhydrobacter"
"3","Corynebacterium"
"4","Bifidobacterium"
"5","Acinetobacter"
"6","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus"
"7","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas"
"8","Wautersiella"
"9","Millisia"
"10","Brevibacterium"
"11","Actinobacillus"
"12","Sphingomonas"
"13","Syntrophococcus"
"14","Collinsella"
"15","Halomonas"
