"index","lable","cluster","degree"
16,"Bordetella",2,0.171717171717172
19,"Ochrobactrum",2,0.111111111111111
35,"Kerstersia",2,0.121212121212121
64,"Xanthobacter",2,0.0909090909090909
76,"Proteus",2,0.0606060606060606
