"from","to","weight"
7,9,0.53456382702231
4,13,0.583459619016618
10,15,0.608014928566453
4,16,0.611953471516898
13,16,0.585634064714873
15,16,0.471800325685584
14,17,0.814878171198721
7,18,0.459387296004187
1,19,0.484777314407263
10,19,0.499026060548122
7,20,0.528851658212313
8,20,0.483695231956011
3,21,0.560458423358716
8,21,0.455694843012969
11,21,0.501544283859446
2,22,0.51399478978374
3,22,0.480300943880541
14,23,0.628672539887138
17,23,0.604064839375674
7,24,0.466700579097247
10,24,0.464320877405267
19,24,0.514019775016188
20,24,0.61912110890467
7,25,0.488020334332646
20,25,0.664907294378759
24,25,0.55329163680926
7,26,0.662699487733118
8,26,0.46165379015613
9,26,0.552665905694206
20,26,0.568313176795591
3,27,0.659506688925387
21,27,0.532448198469923
22,27,0.582721791402736
8,28,0.663614422535811
10,28,0.56941920379276
15,28,0.565263335068548
20,28,0.467597497656047
1,29,0.457155630919385
6,29,0.471697496198519
21,29,0.553580043225066
27,30,0.459115647425546
7,31,0.49053591628546
18,31,0.53154947998563
25,31,0.546610448806505
13,32,0.498257631189284
3,33,0.458684906544263
4,33,0.590768729931127
13,33,0.629786799742313
16,33,0.631091170428959
21,33,0.470558243420856
29,33,0.481850409835717
14,34,0.889712859015873
17,34,0.860670176188446
23,34,0.638643869556779
7,35,0.482416910430793
20,35,0.503391992915144
25,35,0.600727863453083
26,35,0.505613165753595
31,35,0.72741679281171
5,36,0.555767682696993
18,36,0.579488464074157
10,37,0.711280503979802
15,37,0.474843085664663
19,37,0.46063569621383
20,37,0.465935366572041
24,37,0.457393697614749
25,37,0.49152771571107
28,37,0.581014585987968
35,37,0.535886094259133
20,38,0.803101387217805
24,38,0.550993431737709
25,38,0.683146129165606
26,38,0.461746717162976
35,38,0.524665001186858
7,39,0.46017343023763
18,39,0.46370947370805
20,39,0.477010843296534
25,39,0.532956359704265
26,39,0.496704305722378
31,39,0.69954462585102
35,39,0.785284897721137
37,39,0.468595581206541
38,39,0.505057542463399
7,40,0.469573314485029
8,40,0.481382069759093
9,40,0.536892387075985
26,40,0.573926857073534
28,40,0.465503831306486
39,40,0.457369920791398
