"index","lable","cluster","degree"
19,"Succinispira",6,13
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",6,11
31,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",6,9
71,"Succinivibrio",6,12
95,"Barnesiella",6,8
