"","x"
"1","Succinispira"
"2","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium"
"3","Roseburia"
"4","Alistipes"
"5","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium"
"6","Weissella"
"7","Treponema"
"8","Kurthia"
"9","Sporobacter"
"10","Papillibacter"
"11","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides"
"12","Oscillospira"
"13","Akkermansia"
"14","Anaerorhabdus"
"15","YRC22"
