"","x"
"1","Ornithinimicrobium"
"2","Granulicatella"
"3","Helcobacillus"
"4","Acinetobacter"
"5","Prevotella"
"6","Dietzia"
"7","Nocardioides"
"8","Lysobacter"
"9","Porphyrobacter"
"10","Blastococcus"
"11","Succinivibrio"
